"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checks if Write for us link is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.28 - Check Write for us link is present in the DOM tree on each page specified in DATA_1","tests","Tue Jan 21 01:37:53 GMT 2025","skipped","Tue Jan 21 01:37:53 GMT 2025","TestFooter","test_footer","",""
"Check 'Bras & Tanks' subsection link click in 'Women' section redirects to the Bras & Tanks-women page and         the 'Bras & Tanks' header is displayed","3011","TC 01.03.10 correctness of the ""Bras"" link of the ""Women"" section","tests","Tue Jan 21 01:42:44 GMT 2025","passed","Tue Jan 21 01:42:47 GMT 2025","TestHeader","test_header","",""
"Checks if Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.47 - Check Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","tests","Tue Jan 21 01:38:12 GMT 2025","skipped","Tue Jan 21 01:38:12 GMT 2025","TestFooter","test_footer","",""
"Checks if Orders and Returns link is present in the DOM tree on each page specified in DATA_1","753","TC 02.01.18 - Check Orders and Returns link is present in the DOM tree on each page specified in DATA_1","tests","Tue Jan 21 01:37:39 GMT 2025","passed","Tue Jan 21 01:37:39 GMT 2025","TestFooter","test_footer","",""
"Checks if Write for us link is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.28 - Check Write for us link is present in the DOM tree on each page specified in DATA_1","tests","Tue Jan 21 01:37:53 GMT 2025","skipped","Tue Jan 21 01:37:53 GMT 2025","TestFooter","test_footer","",""
"This test checks if Search Terms link is clickable on each page specified in DATA_1","709","TC 02.01.05 - Check if Search Terms link is clickable on each page specified in DATA_1","tests","Tue Jan 21 01:36:54 GMT 2025","passed","Tue Jan 21 01:36:55 GMT 2025","TestFooter","test_footer","",""
"Check the list appears with sections 'My Account', 'My Wish List', 'Sign Out' after clicking the button,        then clicking on 'My Account' redirects to the account page with the header 'My Account' displayed","8135","TC 01.01.10 functionality of the ""My account"" section in the dropdown list","tests","Tue Jan 21 01:41:55 GMT 2025","broken","Tue Jan 21 01:42:03 GMT 2025","TestHeader","test_header","",""
"Check that Contact Us link in footer is correct","0","TC 02.02.05 - Check Contact Us link in footer leads to the correct page from each page specified in DATA_1","tests","Tue Jan 21 01:38:31 GMT 2025","skipped","Tue Jan 21 01:38:31 GMT 2025","TestFooter","test_footer","",""
"Checks if Subscribe Button is visible on each page in DATA_1","0","TC 02.01.41 - Check display of Subscribe Button on each page specified in DATA_1","tests","Tue Jan 21 01:38:12 GMT 2025","skipped","Tue Jan 21 01:38:12 GMT 2025","TestFooter","test_footer","",""
"Check 'Bottoms' subsection link in 'Women' section click redirects to the Bottoms page and         the 'Bottoms' header is displayed","2277","TC 01.03.12 correctness of the ""Bottoms"" link of the ""Women"" section","tests","Tue Jan 21 01:42:51 GMT 2025","passed","Tue Jan 21 01:42:53 GMT 2025","TestHeader","test_header","",""
" Verify that First name input field highlighted when clicked","803","TC 04_01_05 Verify First name input field highlighting on click","tests","Tue Jan 21 01:35:30 GMT 2025","passed","Tue Jan 21 01:35:31 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
"Check error message on attempt to reset password with empty email field","6174","TC 17.01.25 Verify error on resetting My Password with empty email","tests","Tue Jan 21 01:38:54 GMT 2025","skipped","Tue Jan 21 01:39:00 GMT 2025","TestForgotYourPasswordFunctionality","test_forgot_your_password","",""
"Checks if 'Subscribe to our mailing list' link is visible on each page specified in DATA_1","0","TC 02.01.53 - Check 'Subscribe to our mailing list' link is visible on each page specified in DATA_1","tests","Tue Jan 21 01:38:12 GMT 2025","skipped","Tue Jan 21 01:38:12 GMT 2025","TestFooter","test_footer","",""
"This test checks the color change of the add to wishlist button and add to compare button on hover","1394","test_tc_06_01_12_the_color_change_my_wish_and_add_to_compare_button[add_to_wish_list]","tests","Tue Jan 21 01:43:32 GMT 2025","passed","Tue Jan 21 01:43:33 GMT 2025","TestMainPage","test_main_page","",""
"Check 'Tops' subsection link click in 'Men' section redirects to the Tops-men page and         the 'Tops' header is displayed","2508","TC 01.03.18 correctness of the ""Tops"" link of the ""Men"" section","tests","Tue Jan 21 01:41:34 GMT 2025","passed","Tue Jan 21 01:41:37 GMT 2025","TestHeader","test_header","",""
"Checks if Footer is visible on each page specified in DATA_1","1367","TC 02.01.02 - Check Footer display on each page specified in DATA_1","tests","Tue Jan 21 01:36:37 GMT 2025","passed","Tue Jan 21 01:36:38 GMT 2025","TestFooter","test_footer","",""
"Check if Email field is appropriately labeled ","245","TC 17.01.05 Verify FYP Email field is appropriately labeled","tests","Tue Jan 21 01:38:42 GMT 2025","passed","Tue Jan 21 01:38:42 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"Checks if Search Terms link is visible on each page in DATA_1","1157","TC 02.01.04 - Check display of Search Terms link on each page specified in DATA_1","tests","Tue Jan 21 01:36:47 GMT 2025","passed","Tue Jan 21 01:36:48 GMT 2025","TestFooter","test_footer","",""
"Checks if Search Terms link is visible on each page in DATA_1","1048","TC 02.01.04 - Check display of Search Terms link on each page specified in DATA_1","tests","Tue Jan 21 01:36:49 GMT 2025","passed","Tue Jan 21 01:36:50 GMT 2025","TestFooter","test_footer","",""
"Checks if Copyright section is visible on each page in DATA_1","1181","TC 02.01.34 - Check display of Copyright section on each page specified in DATA_1","tests","Tue Jan 21 01:37:59 GMT 2025","passed","Tue Jan 21 01:38:00 GMT 2025","TestFooter","test_footer","",""
"Check 'Shorts' subsection link click in 'Women' section redirects to the Shorts page and         the 'Shorts' header is displayed","3055","TC 01.03.14 correctness of the ""Shorts"" link of the ""Women"" section","tests","Tue Jan 21 01:42:59 GMT 2025","passed","Tue Jan 21 01:43:02 GMT 2025","TestHeader","test_header","",""
"Check error message on attempt to reset password with empty captcha input field","0","TC 17.01.26 Verify error on resetting My Password with empty captcha","tests","Tue Jan 21 01:39:01 GMT 2025","skipped","Tue Jan 21 01:39:01 GMT 2025","TestForgotYourPasswordFunctionality","test_forgot_your_password","",""
"Checks if Copyright text is visible on each page in DATA_1","956","TC 02.01.36 - Check display of Copyright text on each page specified in DATA_1","tests","Tue Jan 21 01:38:11 GMT 2025","passed","Tue Jan 21 01:38:12 GMT 2025","TestFooter","test_footer","",""
"Checks if Copyright text is visible on each page in DATA_1","1125","TC 02.01.36 - Check display of Copyright text on each page specified in DATA_1","tests","Tue Jan 21 01:38:08 GMT 2025","passed","Tue Jan 21 01:38:09 GMT 2025","TestFooter","test_footer","",""
"Verify the link 'Sale' is visible and interactive","1535","TC 01.03.35 visible and interactive the link ""Sale""","tests","Tue Jan 21 01:39:50 GMT 2025","passed","Tue Jan 21 01:39:51 GMT 2025","TestHeader","test_header","",""
" Verify presence of Last name label and the required asterisk ","84","TC 04_01_06","tests","Tue Jan 21 01:35:33 GMT 2025","passed","Tue Jan 21 01:35:33 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
"This test check the color change when hovering over the Add to Cart button","1606","TC 06.01.09 - check the color change to add to cart button","tests","Tue Jan 21 01:43:20 GMT 2025","passed","Tue Jan 21 01:43:22 GMT 2025","TestMainPage","test_main_page","",""
"Checks if text of Orders and Returns link is correct on each page in DATA_1","1147","TC 02.01.22 - Check text of Orders and Returns link on each page specified in DATA_1","tests","Tue Jan 21 01:37:50 GMT 2025","passed","Tue Jan 21 01:37:51 GMT 2025","TestFooter","test_footer","",""
" Verify presence of First name label and the required asterisk ","82","TC 04_01_03 Verify presence of First name label and the required asterisk","tests","Tue Jan 21 01:35:25 GMT 2025","passed","Tue Jan 21 01:35:25 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
" Verify that Confirm Password input field highlighted when clicked","777","TC 04_01_17 Verify Confirm Password input field highlighting on click","tests","Tue Jan 21 01:36:01 GMT 2025","passed","Tue Jan 21 01:36:02 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
"Checks if Orders and Returns link is visible on each page in DATA_1","1086","TC 02.01.19 - Check display of Orders and Returns link on each page specified in DATA_1","tests","Tue Jan 21 01:37:41 GMT 2025","passed","Tue Jan 21 01:37:42 GMT 2025","TestFooter","test_footer","",""
" Verify that Last name input field highlighted when label is clicked","782","TC 04_01_07 Verify Last name input field highlighting on label click","tests","Tue Jan 21 01:35:36 GMT 2025","passed","Tue Jan 21 01:35:36 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
"Checks if Advanced Search link is visible on each page in DATA_1","1348","TC 02.01.14 - Check display of Advanced Search link on each page specified in DATA_1","tests","Tue Jan 21 01:37:22 GMT 2025","passed","Tue Jan 21 01:37:23 GMT 2025","TestFooter","test_footer","",""
"Verify 'Training - Video Download' link click redirected to the 'Video Download' page
            and the 'Video Download' header is displayed","2083","TC 01.03.34 correctly redirected the link ""Training Video Download""","tests","Tue Jan 21 01:39:56 GMT 2025","passed","Tue Jan 21 01:39:58 GMT 2025","TestHeader","test_header","",""
"Check that Advanced Search link in footer is correct","1607","TC 02.02.03 - Check Advanced Search link in footer leads to the correct page from each page specified in DATA_1","tests","Tue Jan 21 01:38:23 GMT 2025","passed","Tue Jan 21 01:38:24 GMT 2025","TestFooter","test_footer","",""
"Checks if Write for us link is visible on each page in DATA_1","0","TC 02.01.29 - Check display of Write for us link on each page specified in DATA_1","tests","Tue Jan 21 01:37:53 GMT 2025","skipped","Tue Jan 21 01:37:53 GMT 2025","TestFooter","test_footer","",""
"Check 'Tops' subsection link click in 'Women' section redirects to the Tops-women page and         the 'Tops' header is displayed","2326","TC 01.03.06 correctness of the ""Tops"" link of the ""Women"" section","tests","Tue Jan 21 01:42:27 GMT 2025","passed","Tue Jan 21 01:42:29 GMT 2025","TestHeader","test_header","",""
