"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks ""Orders and Returns"" form header is visible and has correct text","93","TC 05.01.02 - Verify that 'Order and Returns' form header is present","tests","Tue Dec 03 02:06:09 GMT 2024","passed","Tue Dec 03 02:06:10 GMT 2024","TestOrdersAndReturnsPage","test_orders_and_returns","",""
" Verify that customer can Create An Account with correct data","0","test 04.02.01 create an account with correct data","tests","Tue Dec 03 01:47:54 GMT 2024","skipped","Tue Dec 03 01:47:54 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check error message on attempt to reset password with empty email field","292","TC 17.01.25 Verify error on resetting My Password with empty email","tests","Tue Dec 03 01:52:22 GMT 2024","passed","Tue Dec 03 01:52:22 GMT 2024","TestForgotYourPasswordFunctionality","test_forgot_your_password","",""
"Verify that the block 'Luma shorts' is displayed on the Men page","0","TC 14.06.21 Verify the visibility of 'Luma shorts' promo block.","tests","Tue Dec 03 02:06:03 GMT 2024","skipped","Tue Dec 03 02:06:03 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Check that five elements in Men's Deals section are displayed and enabled","60","TC 10.02.02, 10.02.04, 10.02.06, 10.02.08, 10.02.10 - Verify 5 links in Men's Deals section are visible and clickable","tests","Tue Dec 03 02:07:59 GMT 2024","passed","Tue Dec 03 02:07:59 GMT 2024","TestSalePage","test_sale","",""
"Checks if Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.47 - Check Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","tests","Tue Dec 03 01:51:13 GMT 2024","skipped","Tue Dec 03 01:51:13 GMT 2024","TestFooter","test_footer","",""
"Check that quantity field is displayed and clickable.","1802","tc 07.02.03 Verify that quantity field is displayed and clickable","tests","Tue Dec 03 02:10:33 GMT 2024","passed","Tue Dec 03 02:10:34 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"This test check the cursor change when hovering over the block training erin","0","TC 16.02.07 Check the cursor change to block training erin","tests","Tue Dec 03 02:27:47 GMT 2024","skipped","Tue Dec 03 02:27:47 GMT 2024","TestMainPage","test_training","",""
"Checks if Write for us link is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.28 - Check Write for us link is present in the DOM tree on each page specified in DATA_1","tests","Tue Dec 03 01:50:43 GMT 2024","skipped","Tue Dec 03 01:50:43 GMT 2024","TestFooter","test_footer","",""
"Check that six links in Women's Deals section lead to the correct pages after click","2443","TC 10.01.03, 10.01.05, 10.01.07, 10.01.09, 10.01.11, 10.01.13 - Verify 6 links in Women's Deals open the correct pages","tests","Tue Dec 03 02:07:17 GMT 2024","passed","Tue Dec 03 02:07:19 GMT 2024","TestSalePage","test_sale","",""
