"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check img existence of Gear Deals section","45","TC 10.04.07 - Verify that the Gear Deals contains an image","tests","Sun Feb 16 01:31:25 GMT 2025","passed","Sun Feb 16 01:31:25 GMT 2025","TestSalePage","test_sale","",""
"Verify that text-2 in 'Luma shorts' block correctly displayed","0","TC 14.06.24 Verify that the 'Cool it now' text is visible.","tests","Sun Feb 16 01:28:55 GMT 2025","skipped","Sun Feb 16 01:28:55 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Verify that the click on the block 'Luma hoodies' correctly redirects to a new webpage","0","TC 14.06.38 Verify the click on the block 'Luma hoodies' redirects to a correct page.","tests","Sun Feb 16 01:28:55 GMT 2025","skipped","Sun Feb 16 01:28:55 GMT 2025","TestMenPagePromoBlock","test_men","",""
"This test check the cursor change when hovering over the block training on demand","0","TC 16.02.08 Check the cursor change to block training on demand","tests","Sun Feb 16 01:36:48 GMT 2025","skipped","Sun Feb 16 01:36:48 GMT 2025","TestMainPage","test_training","",""
"This test checks if the info block text in section 2 block 1 'home-pants' is correct
            in the Promo Block under header on the Main Page","6556","TC 13.01.19 - Check the display of the text in block 1 'home-pants' in the Promo Block","tests","Sun Feb 16 01:23:54 GMT 2025","broken","Sun Feb 16 01:24:00 GMT 2025","TestMainPage","test_main_page","",""
"Verify that the block 'Luma hoodies' is displayed on the Men page","0","TC 14.06.33 Verify the visibility of 'Luma hoodies' promo block.","tests","Sun Feb 16 01:28:55 GMT 2025","skipped","Sun Feb 16 01:28:55 GMT 2025","TestMenPagePromoBlock","test_men","",""
"This test check the cursor change when hovering over the block training main","0","TC 16.02.06 Check the cursor change to block training main ","tests","Sun Feb 16 01:36:48 GMT 2025","skipped","Sun Feb 16 01:36:48 GMT 2025","TestMainPage","test_training","",""
"Check if the password input field is of correct format (input-text) and clickable","44","TC 03.01.10 Verify Password field is correct format and clickable","tests","Sun Feb 16 01:34:51 GMT 2025","passed","Sun Feb 16 01:34:51 GMT 2025","TestRegisteredCustomers","test_sign_in","",""
"This test checks if the sign in info block in section 2 block 1 'home-pants' is correct
            in the Promo Block under header on the Main Page","6637","TC 13.01.20 - Check the display of the sign in block 1 'home-pants' in the Promo Block","tests","Sun Feb 16 01:24:02 GMT 2025","broken","Sun Feb 16 01:24:08 GMT 2025","TestMainPage","test_main_page","",""
" Verify presence of Password label and the required asterisk ","709","TC 04_01_13 Verify presence of Password label and the required asterisk","tests","Sun Feb 16 01:13:59 GMT 2025","passed","Sun Feb 16 01:13:59 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
