"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Oct 15 01:24:59 GMT 2023","Sun Oct 15 01:25:04 GMT 2023","5119","tests","test_forgot_your_password","TestForgotYourPassword","","","TC 17.01.01 Verify Forgot Your Password Page h1 Header","Check Login Page Heading is present "
"passed","Sun Oct 15 01:55:06 GMT 2023","Sun Oct 15 01:55:10 GMT 2023","4001","tests","test_shopping_cart","TestShoppingCartFull","","","tc 07.02.22 Verify subtotal in Summury Card: subtotal = price * qty and displayed correctly.","Verify subtotal in summary: subtotal = price * qty and displayed correctly."
"broken","Sun Oct 15 01:43:06 GMT 2023","Sun Oct 15 01:43:12 GMT 2023","5353","tests","test_main_page","TestMainPage","","","test_check_for_duplicate_titles_after_clicking_on_the_card","This test checks for the same titles after clicking on the product card and going to the product page"
"broken","Sun Oct 15 01:20:59 GMT 2023","Sun Oct 15 01:21:04 GMT 2023","5382","tests","test_footer","TestFooter","","","TC 02.01.28 - Check Write for us link is present in the DOM tree on each page specified in DATA_1","Checks if Write for us link is present in the DOM tree on each page specified in DATA_1"
"broken","Sun Oct 15 01:15:26 GMT 2023","Sun Oct 15 01:15:31 GMT 2023","5339","tests","test_footer","TestFooter","","","TC 02.01.04 - Check display of Search Terms link on each page specified in DATA_1","Checks if Search Terms link is visible on each page in DATA_1"
"broken","Sun Oct 15 01:42:19 GMT 2023","Sun Oct 15 01:42:25 GMT 2023","5348","tests","test_header","TestHeader","","","TC 01.03.10 correctness of the ""Bras"" link of the ""Women"" section","Check 'Bras & Tanks' subsection link click in 'Women' section redirects to the Bras & Tanks-women page and         the 'Bras & Tanks' header is displayed"
"passed","Sun Oct 15 01:57:29 GMT 2023","Sun Oct 15 01:57:30 GMT 2023","205","tests","test_sign_in","TestRegisteredCustomers","","","TC 03.01.14 Verify Sign in button is present",""
"broken","Sun Oct 15 01:21:57 GMT 2023","Sun Oct 15 01:22:02 GMT 2023","5402","tests","test_footer","TestFooter","","","TC 02.01.34 - Check display of Copyright section on each page specified in DATA_1","Checks if Copyright section is visible on each page in DATA_1"
"passed","Sun Oct 15 01:48:08 GMT 2023","Sun Oct 15 01:48:10 GMT 2023","2336","tests","test_men","TestMenPage","","","TC 14.02.03 Verify the link Tops redirects to a correct page.","Verify that the link 'Tops' correctly opens and redirects to a new webpage, the header 'Tops' is
              displayed"
"passed","Sun Oct 15 01:57:59 GMT 2023","Sun Oct 15 01:58:00 GMT 2023","810","tests","test_sign_in","TestLogin","","","TC 03.02.04 Verify error on attempting to log in with empty email - Negative","Check error message on attempt to log in with empty email"
