"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check title of Men's Deals section","81","TC 10.02.01 - Verify 'MEN'S DEALS' title is correct","tests","Sat Dec 14 02:00:45 GMT 2024","skipped","Sat Dec 14 02:00:45 GMT 2024","TestSalePage","test_sale","",""
"Checks if Privacy and Cookie Policy link is visible on each page in DATA_1","711","TC 02.01.09 - Check display of Privacy and Cookie Policy link on each page specified in DATA_1","tests","Sat Dec 14 01:45:04 GMT 2024","passed","Sat Dec 14 01:45:05 GMT 2024","TestFooter","test_footer","",""
"Checks if text of placeholder in Subscribe Email Field is correct on each page in DATA_1","0","TC 02.01.51 - Check text of placeholder in Subscribe Email Field on each page specified in DATA_1","tests","Sat Dec 14 01:46:10 GMT 2024","skipped","Sat Dec 14 01:46:10 GMT 2024","TestFooter","test_footer","",""
"Check that six links in Women's Deals section lead to the correct pages after click","625","TC 10.01.03, 10.01.05, 10.01.07, 10.01.09, 10.01.11, 10.01.13 - Verify 6 links in Women's Deals open the correct pages","tests","Sat Dec 14 02:00:34 GMT 2024","passed","Sat Dec 14 02:00:35 GMT 2024","TestSalePage","test_sale","",""
"Check Sidebar Video Download title has correct text and is visible","59","TC 16.01.03 Verify Sidebar title Video Download is visible and contains text 'Video Download'","tests","Sat Dec 14 02:06:57 GMT 2024","passed","Sat Dec 14 02:06:57 GMT 2024","TestMainPage","test_training","",""
"Check Success and Failed Login, no error validation","2195","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Sat Dec 14 02:06:28 GMT 2024","passed","Sat Dec 14 02:06:30 GMT 2024","TestFailedLogin","test_sign_in","",""
"This test checks if Search Terms link is clickable on each page specified in DATA_1","669","TC 02.01.05 - Check if Search Terms link is clickable on each page specified in DATA_1","tests","Sat Dec 14 01:44:52 GMT 2024","passed","Sat Dec 14 01:44:53 GMT 2024","TestFooter","test_footer","",""
"Checks if Copyright text is visible on each page in DATA_1","1241","TC 02.01.36 - Check display of Copyright text on each page specified in DATA_1","tests","Sat Dec 14 01:46:07 GMT 2024","passed","Sat Dec 14 01:46:08 GMT 2024","TestFooter","test_footer","",""
"Check that watches is displayed and enabled","942","test_tc_11_01_06","tests","Sat Dec 14 01:47:09 GMT 2024","passed","Sat Dec 14 01:47:10 GMT 2024","TestGearPage","test_gear","",""
"Check that table headers in item cart are visible","31","test_tc_07_02_02_Verify_table_headers_in_item_cart_are_visible[t_header3]","tests","Sat Dec 14 02:03:56 GMT 2024","passed","Sat Dec 14 02:03:56 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Check if items are visible","772","TC 12.05.01/02/03/04 Check the Sidebar text is visible","tests","Sat Dec 14 02:07:28 GMT 2024","passed","Sat Dec 14 02:07:29 GMT 2024","TestWomenPage","test_women","",""
"Check 'Tanks' subsection link click in 'Men' section redirects to the Tanks-men page and         the 'Tanks' header is displayed","2789","TC 01.03.22 correctness of the ""Tanks"" link of the ""Men"" section","tests","Sat Dec 14 01:49:45 GMT 2024","passed","Sat Dec 14 01:49:48 GMT 2024","TestHeader","test_header","",""
"Check if Password field is appropriately labeled ","82","TC 03.01.11 Verify Password field is appropriately labeled","tests","Sat Dec 14 02:05:10 GMT 2024","passed","Sat Dec 14 02:05:10 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"This test checks ""Orders and Returns"" form header is visible and has correct text","70","TC 05.01.02 - Verify that 'Order and Returns' form header is present","tests","Sat Dec 14 01:59:04 GMT 2024","passed","Sat Dec 14 01:59:04 GMT 2024","TestOrdersAndReturnsPage","test_orders_and_returns","",""
"Checks if Orders and Returns link is visible on each page in DATA_1","683","TC 02.01.19 - Check display of Orders and Returns link on each page specified in DATA_1","tests","Sat Dec 14 01:45:42 GMT 2024","passed","Sat Dec 14 01:45:42 GMT 2024","TestFooter","test_footer","",""
"Check that six elements in Women's Deals section are displayed and enabled","25","TC 10.01.02, 10.01.04, 10.01.06, 10.01.08, 10.01.10, 10.01.12 - Verify 6 links in Women's Deals section are visible and clickable","tests","Sat Dec 14 02:00:16 GMT 2024","passed","Sat Dec 14 02:00:16 GMT 2024","TestSalePage","test_sale","",""
"Checks if text of Advanced Search link is correct on each page in DATA_1","1001","TC 02.01.17 - Check text of Advanced Search link on each page specified in DATA_1","tests","Sat Dec 14 01:45:32 GMT 2024","passed","Sat Dec 14 01:45:33 GMT 2024","TestFooter","test_footer","",""
"Checks if text of 'Subscribe to our mailing list' link is correct on each page in DATA_1","0","TC 02.01.56 - Check text of 'Subscribe to our mailing list' link on each page specified in DATA_1","tests","Sat Dec 14 01:46:10 GMT 2024","skipped","Sat Dec 14 01:46:10 GMT 2024","TestFooter","test_footer","",""
" Verify presence of Password label and the required asterisk ","748","TC 04_01_13 Verify presence of Password label and the required asterisk","tests","Sat Dec 14 01:43:49 GMT 2024","passed","Sat Dec 14 01:43:50 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check 'Bras & Tanks' subsection link click in 'Women' section redirects to the Bras & Tanks-women page and         the 'Bras & Tanks' header is displayed","2803","TC 01.03.10 correctness of the ""Bras"" link of the ""Women"" section","tests","Sat Dec 14 01:50:36 GMT 2024","passed","Sat Dec 14 01:50:39 GMT 2024","TestHeader","test_header","",""
"Check that link in section 2 block 2 'home-t-shirts' is correct","6274","TC 13.02.03 - Check the link in section 2 block 2 'home-t-shirts' in the Promo Block leads to the correct page","tests","Sat Dec 14 01:57:37 GMT 2024","broken","Sat Dec 14 01:57:44 GMT 2024","TestMainPage","test_main_page","",""
"Check Top Videos title has correct text and is visible","0","TC 16.02.05 Verify title Training is visible and contains text 'Top Videos'","tests","Sat Dec 14 02:07:06 GMT 2024","skipped","Sat Dec 14 02:07:06 GMT 2024","TestMainPage","test_training","",""
"
            This test will check that the add to wishlist and add to compare buttons are visible on the screen
            ","1428","Check the display of the add to wish and add to compare buttons","tests","Sat Dec 14 01:51:43 GMT 2024","passed","Sat Dec 14 01:51:44 GMT 2024","TestMainPage","test_main_page","",""
" Verify presence of First name label and the required asterisk ","72","TC 04_01_03 Verify presence of First name label and the required asterisk","tests","Sat Dec 14 01:43:24 GMT 2024","passed","Sat Dec 14 01:43:24 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"This test checks if the sign in info block in section 2 block 2 'home-t-shirts' is correct
            in the Promo Block under header on the main page","1232","TC 13.01.25 - Check the display of the sign in block 2 'home-t-shirts' in the Promo Block","tests","Sat Dec 14 01:54:35 GMT 2024","broken","Sat Dec 14 01:54:36 GMT 2024","TestMainPage","test_main_page","",""
" Verify that customer can't Create An Account with empty first name","584","test 04.02.02 create an account with empty first name","tests","Sat Dec 14 01:44:07 GMT 2024","passed","Sat Dec 14 01:44:08 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check that five elements in Men's Deals section are displayed and enabled","26","TC 10.02.02, 10.02.04, 10.02.06, 10.02.08, 10.02.10 - Verify 5 links in Men's Deals section are visible and clickable","tests","Sat Dec 14 02:00:52 GMT 2024","passed","Sat Dec 14 02:00:52 GMT 2024","TestSalePage","test_sale","",""
"Check that link in section 2 block 3 'home-erin' is correct","6270","TC 13.02.04 - Check the link in section 2 block 3 'home-erin' in the Promo Block leads to the correct page","tests","Sat Dec 14 01:57:46 GMT 2024","broken","Sat Dec 14 01:57:52 GMT 2024","TestMainPage","test_main_page","",""
"Verify that text-3 in 'Luma shorts' block correctly displayed","0","TC 14.06.25 Verify that the 'Shop Shorts' text is visible.","tests","Sat Dec 14 01:59:00 GMT 2024","skipped","Sat Dec 14 01:59:00 GMT 2024","TestMenPagePromoBlock","test_men","",""
"This test checks if info block in section 2 block 1 'home-pants' is displayed","6418","TC 13.01.17 - Check the display of the info block in block 1 'home-pants' in the Promo Block","tests","Sat Dec 14 01:53:42 GMT 2024","broken","Sat Dec 14 01:53:48 GMT 2024","TestMainPage","test_main_page","",""
"Checks if Advanced Search link is visible on each page in DATA_1","1044","TC 02.01.14 - Check display of Advanced Search link on each page specified in DATA_1","tests","Sat Dec 14 01:45:23 GMT 2024","passed","Sat Dec 14 01:45:24 GMT 2024","TestFooter","test_footer","",""
"Check Success and Failed Login, no error validation","2253","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Sat Dec 14 02:06:17 GMT 2024","passed","Sat Dec 14 02:06:20 GMT 2024","TestFailedLogin","test_sign_in","",""
"This test checks if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","984","TC 02.01.10 - Check if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","tests","Sat Dec 14 01:45:09 GMT 2024","passed","Sat Dec 14 01:45:10 GMT 2024","TestFooter","test_footer","",""
"This test checks for the same titles after clicking on the product card and going to the product page","2163","test_check_for_duplicate_titles_after_clicking_on_the_card","tests","Sat Dec 14 01:51:15 GMT 2024","passed","Sat Dec 14 01:51:17 GMT 2024","TestMainPage","test_main_page","",""
"Verify that the link 'Tees' is displayed and clickable","1314","TC 14.03.06 Verify the link 'Tees' is visible and clickable.","tests","Sat Dec 14 01:58:34 GMT 2024","passed","Sat Dec 14 01:58:35 GMT 2024","TestMenPage","test_men","",""
"Check if the Email input is of correct format (input-text) and clickable","41","TC 03.01.05 Verify Email field is correct format and clickable","tests","Sat Dec 14 02:04:55 GMT 2024","passed","Sat Dec 14 02:04:55 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"This test checks Order ID input field is visible","29","TC 05.01.03 - Verify that 'Order ID' input field is visible","tests","Sat Dec 14 01:59:06 GMT 2024","passed","Sat Dec 14 01:59:06 GMT 2024","TestOrdersAndReturnsPage","test_orders_and_returns","",""
"This test checks if block 3 'home-erin' in section 2 in the Promo Block is present
            in the DOM tree on the main page","6253","TC 13.01.46 - Check block 3 'home-erin' in section 2 of the Promo Block is present in the DOM tree","tests","Sat Dec 14 01:56:20 GMT 2024","broken","Sat Dec 14 01:56:26 GMT 2024","TestMainPage","test_main_page","",""
"
        Check the Password field is activated with a cursor and gets highlighted when clicked
        ","648","TC 03.01.12 Verify Password field highlighting on click","tests","Sat Dec 14 02:05:12 GMT 2024","passed","Sat Dec 14 02:05:13 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Check that two elements in Gear Deals section are displayed and enabled","26","TC 10.03.02, 10.02.04 - Verify 2 links in Gear Deals section are visible and clickable","tests","Sat Dec 14 02:01:16 GMT 2024","passed","Sat Dec 14 02:01:16 GMT 2024","TestSalePage","test_sale","",""
"Verify the link 'Fitness Equipment' redirected to the page and the 'Fitness Equipment' header is displayed","2027","TC 01.03.30 correctly redirected the link ""Gear - Fitness Equipment""","tests","Sat Dec 14 01:48:38 GMT 2024","passed","Sat Dec 14 01:48:40 GMT 2024","TestHeader","test_header","",""
"Checks if Copyright section is present in the DOM tree on each page specified in DATA_1","997","TC 02.01.33 - Check Copyright section is present in the DOM tree on each page specified in DATA_1","tests","Sat Dec 14 01:45:56 GMT 2024","passed","Sat Dec 14 01:45:57 GMT 2024","TestFooter","test_footer","",""
"Check 'Pants' subsection link click in 'Men' section redirects to the Pants page and         the 'Pants' header is displayed","2456","TC 01.03.25 correctness of the ""Pants"" link of the ""Men"" section","tests","Sat Dec 14 01:48:21 GMT 2024","passed","Sat Dec 14 01:48:23 GMT 2024","TestHeader","test_header","",""
"Check the 'Tops' subsection in 'Women' section is displayed and the 'Jackets', 'Shorts',         'Hoodies & Sweatshirts', 'Tees' and 'Bras & Tanks' subsections is displayed","1836","TC 01.03.05 display and interactivity of the ""Tops"" section of the ""Women"" section","tests","Sat Dec 14 01:50:17 GMT 2024","passed","Sat Dec 14 01:50:19 GMT 2024","TestHeader","test_header","",""
"Check Success Login with correct credentials","1953","TC 03.02.01 Verify login with valid email valid password - Positive","tests","Sat Dec 14 02:05:41 GMT 2024","passed","Sat Dec 14 02:05:43 GMT 2024","TestLogin","test_sign_in","",""
"Check if the 'Reload captcha' button is present","0","TC 17.01.14 Verify Reload captcha button is present","tests","Sat Dec 14 01:46:47 GMT 2024","skipped","Sat Dec 14 01:46:47 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"Verify that click 'Forgot your password?' link opens correct page","835","TC 03.01.17 Verify Forgot Your Password link is functional","tests","Sat Dec 14 02:05:24 GMT 2024","passed","Sat Dec 14 02:05:25 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
