"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the link 'What's new' is visible and interactive","1603","TC 01.03.01 visible and interactive the link ""What is New""","tests","Fri Jan 17 01:31:56 GMT 2025","passed","Fri Jan 17 01:31:57 GMT 2025","TestHeader","test_header","",""
"This test checks ""Orders and Returns"" header is visible and has correct text","47","TC 05.01.01 - Verify that 'Order and Returns' Page Heading is present","tests","Fri Jan 17 01:42:09 GMT 2025","passed","Fri Jan 17 01:42:09 GMT 2025","TestOrdersAndReturnsPage","test_orders_and_returns","",""
"Checks if the footer is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.01 - Check Footer is present in the DOM tree on each page specified in DATA_1","tests","Fri Jan 17 01:28:38 GMT 2025","skipped","Fri Jan 17 01:28:38 GMT 2025","TestFooter","test_footer","",""
"Verify that text-1 in 'Luma shorts' block correctly displayed","0","TC 14.06.23 Verify that the 'Luma shorts' text is visible.","tests","Fri Jan 17 01:42:07 GMT 2025","skipped","Fri Jan 17 01:42:07 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Checks if Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.47 - Check Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","tests","Fri Jan 17 01:30:15 GMT 2025","skipped","Fri Jan 17 01:30:15 GMT 2025","TestFooter","test_footer","",""
"Checks if text of 'Contact us' link is correct on each page in DATA_1","0","TC 02.01.27 - Check text of 'Contact us' link on each page specified in DATA_1","tests","Fri Jan 17 01:29:56 GMT 2025","skipped","Fri Jan 17 01:29:56 GMT 2025","TestFooter","test_footer","",""
"This test checks if the info block title in section 2 block 2 'home-t-shirts' is correct
            in the Promo Block under header on the main page","1219","TC 13.01.23 - Check the display of the title in block 2 'home-t-shirts' in the Promo Block","tests","Fri Jan 17 01:37:37 GMT 2025","broken","Fri Jan 17 01:37:38 GMT 2025","TestMainPage","test_main_page","",""
"Check if the entered value is masked in password field","156","TC 03.01.13 Verify Password is masked","tests","Fri Jan 17 01:47:58 GMT 2025","passed","Fri Jan 17 01:47:58 GMT 2025","TestRegisteredCustomers","test_sign_in","",""
"Checks if Copyright section is visible on each page in DATA_1","1330","TC 02.01.34 - Check display of Copyright section on each page specified in DATA_1","tests","Fri Jan 17 01:30:02 GMT 2025","passed","Fri Jan 17 01:30:03 GMT 2025","TestFooter","test_footer","",""
"Check 'Tees' subsection link click in 'Men' section redirects to the Tees-men page and         the 'Tees' header is displayed","2573","TC 01.03.21 correctness of the ""Tees"" link of the ""Men"" section","tests","Fri Jan 17 01:33:37 GMT 2025","passed","Fri Jan 17 01:33:40 GMT 2025","TestHeader","test_header","",""
"This test checks if block 4 'home-performance' in section 2 in the Promo Block is present
            in the DOM tree on the main page","6471","TC 13.01.47 - Check block 4 'home-performance' in section 2 of the Promo Block is present in the DOM tree","tests","Fri Jan 17 01:39:38 GMT 2025","broken","Fri Jan 17 01:39:44 GMT 2025","TestMainPage","test_main_page","",""
"Check the 'Tops' & 'Bottoms' subsections in 'Men' section is displayed","1515","TC 01.03.15 display and interactivity of the ""Men"" section","tests","Fri Jan 17 01:32:25 GMT 2025","passed","Fri Jan 17 01:32:26 GMT 2025","TestHeader","test_header","",""
"Check that five links in Men's Deals section lead to the correct pages after click","574","TC 10.02.03, 10.02.05, 10.02.07, 10.02.09, 10.02.11 - Verify 5 links in Men's Deals open the correct pages","tests","Fri Jan 17 01:44:11 GMT 2025","passed","Fri Jan 17 01:44:12 GMT 2025","TestSalePage","test_sale","",""
"This test checks that if a product has a review, then the product card has a rating","1169","test_check_card_rating","tests","Fri Jan 17 01:35:02 GMT 2025","passed","Fri Jan 17 01:35:03 GMT 2025","TestMainPage","test_main_page","",""
"Checks if Orders and Returns link is present in the DOM tree on each page specified in DATA_1","1303","TC 02.01.18 - Check Orders and Returns link is present in the DOM tree on each page specified in DATA_1","tests","Fri Jan 17 01:29:39 GMT 2025","passed","Fri Jan 17 01:29:40 GMT 2025","TestFooter","test_footer","",""
"This test checks if the image in section 2 block 1 'home-pants' is visible","6561","TC 13.01.15 - Check the display of an image in block 1 'home-pants' in the Promo Block","tests","Fri Jan 17 01:36:40 GMT 2025","broken","Fri Jan 17 01:36:47 GMT 2025","TestMainPage","test_main_page","",""
"Check error on Failed Login with invalid credentials, case-sensitive password and password with spaces","1213","TC 03.02.02 to 03_02_10 Verify Error on Failed Login with invalid credentials","tests","Fri Jan 17 01:49:21 GMT 2025","passed","Fri Jan 17 01:49:23 GMT 2025","TestFailedLogin","test_sign_in","",""
"Check that six elements in Women's Deals section are displayed and enabled","27","TC 10.01.02, 10.01.04, 10.01.06, 10.01.08, 10.01.10, 10.01.12 - Verify 6 links in Women's Deals section are visible and clickable","tests","Fri Jan 17 01:43:31 GMT 2025","passed","Fri Jan 17 01:43:31 GMT 2025","TestSalePage","test_sale","",""
"Check that message coupon code is not valid is displayed correct","3064","tc 07.02.25 Verify the message coupon code is not valid is displayed correct","tests","Fri Jan 17 01:47:05 GMT 2025","broken","Fri Jan 17 01:47:08 GMT 2025","TestShoppingCartFull","test_shopping_cart","",""
"Verify the link 'Training' is visible and interactive and link 'Video Download' is visible","1609","TC_01_03_32_visible_and_interactive_the_link_""Training""","tests","Fri Jan 17 01:31:53 GMT 2025","passed","Fri Jan 17 01:31:54 GMT 2025","TestHeader","test_header","",""
" Verify presence of Confirm Password label and the required asterisk ","724","TC 04_01_16 Verify presence of Confirm Password label and the required asterisk","tests","Fri Jan 17 01:28:03 GMT 2025","passed","Fri Jan 17 01:28:03 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
