"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the link 'Gear' redirected to the page and the 'Gear' header is displayed","1742","TC 01.03.28 correctly redirected the link ""Gear""","tests","Sat Jan 04 01:41:37 GMT 2025","passed","Sat Jan 04 01:41:39 GMT 2025","TestHeader","test_header","",""
"Checks if the footer is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.01 - Check Footer is present in the DOM tree on each page specified in DATA_1","tests","Sat Jan 04 01:37:43 GMT 2025","skipped","Sat Jan 04 01:37:43 GMT 2025","TestFooter","test_footer","",""
"Check Success and Failed Login, no error validation","2284","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Sat Jan 04 01:58:47 GMT 2025","passed","Sat Jan 04 01:58:50 GMT 2025","TestFailedLogin","test_sign_in","",""
"Check the list appears with sections 'My Account', 'My Wish List', 'Sign Out' after clicking the button,        then clicking on 'My Account' redirects to the account page with the header 'My Account' displayed","7887","TC 01.01.10 functionality of the ""My account"" section in the dropdown list","tests","Sat Jan 04 01:42:54 GMT 2025","broken","Sat Jan 04 01:43:02 GMT 2025","TestHeader","test_header","",""
"","42","TC 03.01.14 Verify Sign in button is present","tests","Sat Jan 04 01:58:06 GMT 2025","passed","Sat Jan 04 01:58:06 GMT 2025","TestRegisteredCustomers","test_sign_in","",""
"Checks if Privacy and Cookie Policy link is visible on each page in DATA_1","987","TC 02.01.09 - Check display of Privacy and Cookie Policy link on each page specified in DATA_1","tests","Sat Jan 04 01:38:13 GMT 2025","passed","Sat Jan 04 01:38:14 GMT 2025","TestFooter","test_footer","",""
"Verify that the block 'Luma tees' is displayed on the Men page","0","TC 14.06.27 Verify the visibility of 'Luma tees' promo block.","tests","Sat Jan 04 01:51:52 GMT 2025","skipped","Sat Jan 04 01:51:52 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Checks if text of Privacy and Cookie Policy link matches expected on each page in DATA_1","1270","TC 02.01.12 - Check text of Privacy and Cookie Policy link on each page specified in DATA_1","tests","Sat Jan 04 01:38:23 GMT 2025","passed","Sat Jan 04 01:38:24 GMT 2025","TestFooter","test_footer","",""
"Check that link in section 1 is correct","2078","TC 13.02.01 - Check the section 1 link in the Promo Block leads to the correct page","tests","Sat Jan 04 01:50:17 GMT 2025","passed","Sat Jan 04 01:50:19 GMT 2025","TestMainPage","test_main_page","",""
"Checks if Subscribe section is visible on each page in DATA_1","0","TC 02.01.39 - Check display of Subscribe section on each page specified in DATA_1","tests","Sat Jan 04 01:39:20 GMT 2025","skipped","Sat Jan 04 01:39:20 GMT 2025","TestFooter","test_footer","",""
"Verify the link 'Training' is visible and interactive and link 'Video Download' is visible","1419","TC_01_03_32_visible_and_interactive_the_link_""Training""","tests","Sat Jan 04 01:41:02 GMT 2025","passed","Sat Jan 04 01:41:04 GMT 2025","TestHeader","test_header","",""
