"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks that the card has a price and a price in USD","1474","test_check_card_price","tests","Sun Aug 17 01:37:28 UTC 2025","passed","Sun Aug 17 01:37:30 UTC 2025","TestMainPage","test_main_page","",""
"Verify that the link 'Hoodies&Sweatshirts' correctly opens and redirects to a new webpage, the header         'Hoodies&Sweatshirt' is displayed","2854","TC 14.03.03 Verify the link 'Hoodies&Sweatshirts' redirects to a correct page.","tests","Sun Aug 17 01:44:47 UTC 2025","passed","Sun Aug 17 01:44:50 UTC 2025","TestMenPage","test_men","",""
"Check error message on attempt to reset password with empty email field","231","TC 17.01.25 Verify error on resetting My Password with empty email","tests","Sun Aug 17 01:32:22 UTC 2025","passed","Sun Aug 17 01:32:22 UTC 2025","TestForgotYourPasswordFunctionality","test_forgot_your_password","",""
"This test checks if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","2224","TC 02.01.10 - Check if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","tests","Sun Aug 17 01:30:17 UTC 2025","passed","Sun Aug 17 01:30:19 UTC 2025","TestFooter","test_footer","",""
"Verify that the image in the block 'Save up to $24!' is displayed on the Men page","0","TC 14.06.10 Verify the visibility of the image in the 'Save up to $24!' promo block.","tests","Sun Aug 17 01:45:37 UTC 2025","skipped","Sun Aug 17 01:45:37 UTC 2025","TestMenPagePromoBlock","test_men","",""
"Check greeting message == 'Default welcome msg!' and is visible","0","TC 01.01.01 greeting message is visible","tests","Sun Aug 17 01:32:46 UTC 2025","skipped","Sun Aug 17 01:32:46 UTC 2025","TestHeader","test_header","",""
"Check that 'Subscribe to our mailing list' link in footer is correct","0","TC 02.02.07 - Check 'Subscribe to our mailing list' link in footer leads to the correct page from each page specified in DATA_1","tests","Sun Aug 17 01:31:54 UTC 2025","skipped","Sun Aug 17 01:31:54 UTC 2025","TestFooter","test_footer","",""
"Checks if text of Advanced Search link is correct on each page in DATA_1","1122","TC 02.01.17 - Check text of Advanced Search link on each page specified in DATA_1","tests","Sun Aug 17 01:30:46 UTC 2025","passed","Sun Aug 17 01:30:47 UTC 2025","TestFooter","test_footer","",""
"This test check the color change when hovering over the Add to Cart button","1670","TC 06.01.09 - check the color change to add to cart button","tests","Sun Aug 17 01:37:36 UTC 2025","passed","Sun Aug 17 01:37:38 UTC 2025","TestMainPage","test_main_page","",""
"Verify that text-2 in 'Save up to $24!' block correctly displayed","0","TC 14.06.12 Verify that the 'Buy 3 Luma tees' text in the 'Save up to $24!' promo block is visible.","tests","Sun Aug 17 01:45:37 UTC 2025","skipped","Sun Aug 17 01:45:37 UTC 2025","TestMenPagePromoBlock","test_men","",""
