"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Verify that First name input field highlighted when clicked","800","TC 04_01_05 Verify First name input field highlighting on click","tests","Sun Dec 15 01:53:28 GMT 2024","passed","Sun Dec 15 01:53:29 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check that link in section 2 block 2 'home-t-shirts' is correct","6561","TC 13.02.03 - Check the link in section 2 block 2 'home-t-shirts' in the Promo Block leads to the correct page","tests","Sun Dec 15 02:07:08 GMT 2024","broken","Sun Dec 15 02:07:14 GMT 2024","TestMainPage","test_main_page","",""
"Checks if 'Subscribe to our mailing list' link is present in the DOM tree on each page
        specified in DATA_1","0","TC 02.01.52 - Check 'Subscribe to our mailing list' link is present in the DOM tree on each page specified in DATA_1","tests","Sun Dec 15 01:56:06 GMT 2024","skipped","Sun Dec 15 01:56:06 GMT 2024","TestFooter","test_footer","",""
" Verify that customer can't Create An Account with empty confirm password","411","test 04.02.06 create an account with empty confirm password","tests","Sun Dec 15 01:54:16 GMT 2024","passed","Sun Dec 15 01:54:17 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"This test checks if block 4 'home-performance' in section 2 in the Promo Block is present
            in the DOM tree on the main page","6229","TC 13.01.47 - Check block 4 'home-performance' in section 2 of the Promo Block is present in the DOM tree","tests","Sun Dec 15 02:05:57 GMT 2024","broken","Sun Dec 15 02:06:03 GMT 2024","TestMainPage","test_main_page","",""
"Checks if placeholder in Subscribe Email Field is visible on each page in DATA_1","0","TC 02.01.50 - Check display of placeholder in Subscribe Email Field on each page specified in DATA_1","tests","Sun Dec 15 01:56:06 GMT 2024","skipped","Sun Dec 15 01:56:06 GMT 2024","TestFooter","test_footer","",""
"Verify the message 'You have no items in your wish list.' is visible","752","TC 18.01.04 message no items to compare is displayed","tests","Sun Dec 15 02:16:01 GMT 2024","passed","Sun Dec 15 02:16:02 GMT 2024","TestTrainingVideoDownload","test_training_video_download","",""
"Check 'Shorts' subsection link in 'Men' section click redirects to the Shorts page and             the 'Shorts' header is displayed","2894","TC 01.03.26 correctness ""Shorts"" link","tests","Sun Dec 15 01:58:11 GMT 2024","passed","Sun Dec 15 01:58:14 GMT 2024","TestHeader","test_header","",""
"Check that button 'Apply Discount' is displayed correct","1236","tc 07.02.26 Verify the button 'Apply Discount' is displayed correct","tests","Sun Dec 15 02:13:04 GMT 2024","passed","Sun Dec 15 02:13:05 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Check that Search Terms link in footer is correct","0","TC 02.02.01 - Check Search Terms link in footer leads to the correct page from each page specified in DATA_1","tests","Sun Dec 15 01:56:06 GMT 2024","skipped","Sun Dec 15 01:56:06 GMT 2024","TestFooter","test_footer","",""
"This test checks that the card has a price and a price in USD","1115","test_check_card_price","tests","Sun Dec 15 02:00:50 GMT 2024","passed","Sun Dec 15 02:00:51 GMT 2024","TestMainPage","test_main_page","",""
