"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Success and Failed Login, no error validation","2179","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Sat Dec 28 01:59:09 GMT 2024","passed","Sat Dec 28 01:59:11 GMT 2024","TestFailedLogin","test_sign_in","",""
"This test checks if the image in section 2 block 5 'home-eco' is correct
            in the Promo Block under header on the main page","6402","TC 13.01.36 - Check the display of the image in block 5 'home-eco' in the Promo Block","tests","Sat Dec 28 01:48:12 GMT 2024","broken","Sat Dec 28 01:48:18 GMT 2024","TestMainPage","test_main_page","",""
"Checks if the Search Terms link is present in the DOM tree on each page specified in DATA_1","1135","TC 02.01.03 - Check Search Terms link is present in the DOM tree on each page specified in DATA_1","tests","Sat Dec 28 01:37:24 GMT 2024","passed","Sat Dec 28 01:37:25 GMT 2024","TestFooter","test_footer","",""
"Verify that the link 'Pants' is displayed and clickable","1517","TC 14.04.02 Verify the link 'Pants' is visible and clickable.","tests","Sat Dec 28 01:51:41 GMT 2024","passed","Sat Dec 28 01:51:43 GMT 2024","TestMenPage","test_men","",""
"Checks if text of Search Terms link is correct on each page in DATA_1","0","TC 02.01.07 - Check text of Search Terms link on each page specified in DATA_1","tests","Sat Dec 28 01:37:40 GMT 2024","skipped","Sat Dec 28 01:37:40 GMT 2024","TestFooter","test_footer","",""
"Check that five links in Men's Deals section lead to the correct pages after click","3016","TC 10.02.03, 10.02.05, 10.02.07, 10.02.09, 10.02.11 - Verify 5 links in Men's Deals open the correct pages","tests","Sat Dec 28 01:54:06 GMT 2024","passed","Sat Dec 28 01:54:09 GMT 2024","TestSalePage","test_sale","",""
"Checks if text of Advanced Search link is correct on each page in DATA_1","1579","TC 02.01.17 - Check text of Advanced Search link on each page specified in DATA_1","tests","Sat Dec 28 01:38:15 GMT 2024","passed","Sat Dec 28 01:38:16 GMT 2024","TestFooter","test_footer","",""
"Check 'Shorts' subsection link in 'Men' section click redirects to the Shorts page and             the 'Shorts' header is displayed","2807","TC 01.03.26 correctness ""Shorts"" link","tests","Sat Dec 28 01:41:10 GMT 2024","passed","Sat Dec 28 01:41:13 GMT 2024","TestHeader","test_header","",""
"Check if the captcha input is of correct format (input-text) and clickable","0","TC 17.01.10 Verify FYP captcha input field is correct format and clickable","tests","Sat Dec 28 01:39:35 GMT 2024","skipped","Sat Dec 28 01:39:35 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"Check that watches link is correct","2406","test_TC_11_01_07","tests","Sat Dec 28 01:39:57 GMT 2024","passed","Sat Dec 28 01:40:00 GMT 2024","TestGearPage","test_gear","",""
"Checks if placeholder in Email field is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.49 - Check placeholder in Subscribe Email Field is present in the DOM tree on each page specified in DATA_1","tests","Sat Dec 28 01:38:56 GMT 2024","skipped","Sat Dec 28 01:38:56 GMT 2024","TestFooter","test_footer","",""
"Check if Password field is appropriately labeled ","70","TC 03.01.11 Verify Password field is appropriately labeled","tests","Sat Dec 28 01:57:56 GMT 2024","passed","Sat Dec 28 01:57:56 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Checks if Copyright section is visible on each page in DATA_1","1147","TC 02.01.34 - Check display of Copyright section on each page specified in DATA_1","tests","Sat Dec 28 01:38:43 GMT 2024","passed","Sat Dec 28 01:38:45 GMT 2024","TestFooter","test_footer","",""
" Verify presence of Password Strength hint and warning color of weak password ","260","TC 04_02_09_13 Verify presence of strong password strength hint","tests","Sat Dec 28 01:37:12 GMT 2024","passed","Sat Dec 28 01:37:12 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check 'Hoodies & Sweatshirts' subsection link click in 'Men' section redirects to the         Hoodies & Sweatshirts-men page and the 'Hoodies & Sweatshirts' header is displayed","2705","TC 01.03.20 correctness of the ""Hoodies & Sweatshirts"" link of the ""Men"" section","tests","Sat Dec 28 01:42:34 GMT 2024","passed","Sat Dec 28 01:42:37 GMT 2024","TestHeader","test_header","",""
"Verify that the link 'Shorts' correctly opens and redirects to a new webpage, the header 'Pants' is
              displayed","1681","TC 14.04.05 Verify the link 'Shorts' redirects to a correct page.","tests","Sat Dec 28 01:51:50 GMT 2024","passed","Sat Dec 28 01:51:51 GMT 2024","TestMenPage","test_men","",""
"This test checks if the sign in info block in section 2 block 1 'home-pants' is correct
            in the Promo Block under header on the Main Page","6306","TC 13.01.20 - Check the display of the sign in block 1 'home-pants' in the Promo Block","tests","Sat Dec 28 01:47:00 GMT 2024","broken","Sat Dec 28 01:47:06 GMT 2024","TestMainPage","test_main_page","",""
