"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Verify that Sign in Information heading is present","5103","TC 04_01_10 Verify Sign in Information heading","tests","Sun Nov 16 01:24:41 UTC 2025","broken","Sun Nov 16 01:24:46 UTC 2025","TestCreateAnAccount","test_create_an_account","",""
"Check 'Sign In' link is displayed and underlined","5591","TC 01.01.04 display and interactivity of the ""Sign In"" link","tests","Sun Nov 16 01:34:00 UTC 2025","broken","Sun Nov 16 01:34:05 UTC 2025","TestHeader","test_header","",""
"This test checks if Orders and Returns link is clickable on each page specified in DATA_1","5441","TC 02.01.20 - Check if Orders and Returns link is clickable on each page specified in DATA_1","tests","Sun Nov 16 01:30:03 UTC 2025","broken","Sun Nov 16 01:30:08 UTC 2025","TestFooter","test_footer","",""
"Check if the captcha input is of correct format (input-text) and clickable","0","TC 17.01.10 Verify FYP captcha input field is correct format and clickable","tests","Sun Nov 16 01:32:43 UTC 2025","skipped","Sun Nov 16 01:32:43 UTC 2025","TestForgotYourPassword","test_forgot_your_password","",""
"This test checks if section 1 in Promo Block under header is clickable","5468","TC 13.01.49 - Check if section 1 is clickable in the Promo Block on the main page","tests","Sun Nov 16 01:45:28 UTC 2025","broken","Sun Nov 16 01:45:33 UTC 2025","TestMainPage","test_main_page","",""
"Check if 'Create an Account' button has correct link and is clickable","5106","TC 03.01.22 Verify Create an Account button link","tests","Sun Nov 16 02:00:13 UTC 2025","broken","Sun Nov 16 02:00:18 UTC 2025","TestNewCustomers","test_sign_in","",""
"
        Check the captcha field is activated with a cursor and gets highlighted when clicked
        ","0","TC 17.01.12 Verify FYP captcha field highlighting on click","tests","Sun Nov 16 01:32:43 UTC 2025","skipped","Sun Nov 16 01:32:43 UTC 2025","TestForgotYourPassword","test_forgot_your_password","",""
"Verify message 'You have no items to compare.' is visible","5403","TC 18.01.03 message ""You have no items to compare."" is displayed","tests","Sun Nov 16 02:03:47 UTC 2025","broken","Sun Nov 16 02:03:52 UTC 2025","TestTrainingVideoDownload","test_training_video_download","",""
"Verify that the 'Proceed to checkout' button redirects to the shipping page.","0","tc 07.02.08 Verify that 'Proceed to checkout' button redirects to the shipping page","tests","Sun Nov 16 01:56:18 UTC 2025","broken","Sun Nov 16 01:56:18 UTC 2025","TestShoppingCartFull","test_shopping_cart","",""
"Check that five elements in Men's Deals section are displayed and enabled","5104","TC 10.02.02, 10.02.04, 10.02.06, 10.02.08, 10.02.10 - Verify 5 links in Men's Deals section are visible and clickable","tests","Sun Nov 16 01:52:14 UTC 2025","broken","Sun Nov 16 01:52:19 UTC 2025","TestSalePage","test_sale","",""
