"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Test Footer","3","","44","65","","0"
"0","","0","Failed Login Functionality","15","0","","0"
"0","MenPage","6","","13","30","","0"
"8","Test Header","24","","20","1","","0"
"54","Main Page","0","Promo Block Testing","9","0","","0"
"0","Sale Page","2","Testing Side Menu Bar - Gear Deals Section","3","0","","0"
"0","Create An Account","0","","28","2","","0"
"3","","0","Shopping Cart is full","16","0","","0"
"0","Forgot Your Password Page","0","","9","11","","0"
"0","Sale Page","2","Testing Side Menu Bar - Men's Deals Section","8","1","","0"
"0","","1","New Customers","4","0","","0"
"0","Sign In Page","1","Registered Customers","17","0","","0"
"0","Test Training Video","0","","6","0","","0"
"0","Sale Page","3","Testing Promo Blocks, Main Block (Women's Deals) and 2 columns block - Men's Bargain, Gear Steals","12","0","","0"
"0","Sale Page","4","Testing Side Menu Bar - Women's Deals Section","9","0","","0"
"0","Training Page","0","Testing Training Page Sidebar","8","7","","0"
"0","","2","","7","0","","0"
"0","Main Page","1","Testing Hot Seller Section","12","4","","0"
"0","WomenPage","0","","6","0","","0"
"0","","0","Login Functionality","5","0","","0"
"0","Forgot Your Password Functionality","0","","1","3","","0"
"0","Review Page","0","","5","0","","0"
"0","Shopping Cart","1","Shopping Cart is empty","2","0","","0"
"0","Orders and Returns","0","","3","0","","0"
