"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks if Section 2 in Promo Block under header is displayed on the Main Page","11617","TC 13.01.09 - Check the display of Section 2 in the Promo Block","tests","Sun Dec 08 02:04:19 GMT 2024","broken","Sun Dec 08 02:04:30 GMT 2024","TestMainPage","test_main_page","",""
"Check that fitness_equipment is displayed and enabled","1338","test_tc_11_01_04","tests","Sun Dec 08 01:58:12 GMT 2024","passed","Sun Dec 08 01:58:14 GMT 2024","TestGearPage","test_gear","",""
"Check title-text and content-text in 3-columns block - sale-free-shipping","127","TC 10.04.13 - Verify the text in 3-columns block - sale-free-shipping","tests","Sun Dec 08 02:12:02 GMT 2024","passed","Sun Dec 08 02:12:02 GMT 2024","TestSalePage","test_sale","",""
"Checks if Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.47 - Check Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","tests","Sun Dec 08 01:57:10 GMT 2024","skipped","Sun Dec 08 01:57:10 GMT 2024","TestFooter","test_footer","",""
"Checks if 'Contact us' link is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.23 - Check 'Contact us' link is present in the DOM tree on each page specified in DATA_1","tests","Sun Dec 08 01:56:48 GMT 2024","skipped","Sun Dec 08 01:56:48 GMT 2024","TestFooter","test_footer","",""
"Check error message on attempt to reset password with empty email field","204","TC 17.01.25 Verify error on resetting My Password with empty email","tests","Sun Dec 08 01:58:02 GMT 2024","passed","Sun Dec 08 01:58:02 GMT 2024","TestForgotYourPasswordFunctionality","test_forgot_your_password","",""
"Check Registered Customers note is present ","55","TC 17.01.02 Verify Forgot Your Password note","tests","Sun Dec 08 01:57:38 GMT 2024","passed","Sun Dec 08 01:57:38 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"This test checks that if a product has a review, then the product card has a rating","1504","test_check_card_rating","tests","Sun Dec 08 02:02:53 GMT 2024","passed","Sun Dec 08 02:02:55 GMT 2024","TestMainPage","test_main_page","",""
"Verify the message 'You have no items in your wish list.' is visible","1202","TC 18.01.04 message no items to compare is displayed","tests","Sun Dec 08 02:18:09 GMT 2024","passed","Sun Dec 08 02:18:10 GMT 2024","TestTrainingVideoDownload","test_training_video_download","",""
"Check that the captcha image is present by default","0","TC 17.01.17 Verify captcha image is present by default","tests","Sun Dec 08 01:57:56 GMT 2024","skipped","Sun Dec 08 01:57:56 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"
        The user is NOT logged in, located in the product card, section ""Reviews""
        1. All required fields are filled with correct data
        2. Pressed 1 star
        3.The ""Submit Review"" button is pressed
        Result: Present in the DOM and visible on the page the message: ""You submitted your review for moderation.""
        This code works when run on Win, Mac, Ubuntu on a real laptop and has the features of working on GitHub Action.
        When interacting with the GitHub Action, it checks not for the text of the ""Success"" message, but for the ""Success"" URL""
        ","5582","TC 01_15_01 Verify possibility to vote with 1 star","tests","Sun Dec 08 02:08:45 GMT 2024","passed","Sun Dec 08 02:08:51 GMT 2024","TestReviews","test_reviews_page","",""
"Check if the displayed email matches the entered email in Email field","303","TC 17.01.07 Verify displayed email matches the entered email in FYP Email field","tests","Sun Dec 08 01:57:53 GMT 2024","passed","Sun Dec 08 01:57:53 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
