"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Verify presence of Password Strength hint and warning color of weak password ","353","TC 04_02_09_13 Verify presence of strong password strength hint","tests","Mon Nov 11 01:39:56 GMT 2024","passed","Mon Nov 11 01:39:57 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"This test checks the color change of the add to wishlist button and add to compare button on hover","1673","test_tc_06_01_12_the_color_change_my_wish_and_add_to_compare_button[add_to_wish_list]","tests","Mon Nov 11 01:48:25 GMT 2024","passed","Mon Nov 11 01:48:27 GMT 2024","TestMainPage","test_main_page","",""
" Verify presence of Email label and the required asterisk ","860","TC 04_01_11 Verify presence of email label and the required asterisk","tests","Mon Nov 11 01:38:59 GMT 2024","passed","Mon Nov 11 01:38:59 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check if 'Create an Account' button has correct link and is clickable","52","TC 03.01.22 Verify Create an Account button link","tests","Mon Nov 11 02:00:26 GMT 2024","passed","Mon Nov 11 02:00:26 GMT 2024","TestNewCustomers","test_sign_in","",""
"Check that table headers in item cart are visible","308","test_tc_07_02_02_Verify_table_headers_in_item_cart_are_visible[t_header2]","tests","Mon Nov 11 01:58:31 GMT 2024","passed","Mon Nov 11 01:58:32 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"This test checks if the sign in info block in section 2 block 4 'home-performance' is correct
            in the Promo Block under header on the main page","1207","TC 13.01.35 - Check the display of the sign in block 4 'home-performance' in the Promo Block","tests","Mon Nov 11 01:50:51 GMT 2024","passed","Mon Nov 11 01:50:52 GMT 2024","TestMainPage","test_main_page","",""
"Checks if 'Contact us' link is visible on each page in DATA_1","0","TC 02.01.24 - Check display of 'Contact us' link on each page specified in DATA_1","tests","Mon Nov 11 01:41:28 GMT 2024","skipped","Mon Nov 11 01:41:28 GMT 2024","TestFooter","test_footer","",""
"Checks if 'Contact us' link is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.23 - Check 'Contact us' link is present in the DOM tree on each page specified in DATA_1","tests","Mon Nov 11 01:41:28 GMT 2024","skipped","Mon Nov 11 01:41:28 GMT 2024","TestFooter","test_footer","",""
"Check if the 'Reload captcha' button is present","0","TC 17.01.19 Verify Reset My Password button is present","tests","Mon Nov 11 01:42:35 GMT 2024","skipped","Mon Nov 11 01:42:35 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"Check Login Page Heading is present ","66","TC 17.01.01 Verify Forgot Your Password Page h1 Header","tests","Mon Nov 11 01:42:16 GMT 2024","passed","Mon Nov 11 01:42:16 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"Check that Apply Discount Code is displayed.","1354","tc 07.02.24 Verify the Apply Discount Code is displayed","tests","Mon Nov 11 01:58:44 GMT 2024","passed","Mon Nov 11 01:58:45 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
" Verify that customer can't Create An Account with incorrect confirm password","645","test 04.02.07 create an account with incorrect confirm password","tests","Mon Nov 11 01:39:43 GMT 2024","passed","Mon Nov 11 01:39:44 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"This test checks if the image in section 2 block 3 'home-erin' is correct","1873","TC 13.01.26_01 - Check correctness of the image in block 3 'home-erin' in the Promo Block","tests","Mon Nov 11 01:50:23 GMT 2024","passed","Mon Nov 11 01:50:25 GMT 2024","TestMainPage","test_main_page","",""
"Check that six elements in Women's Deals section are displayed and enabled","39","TC 10.01.02, 10.01.04, 10.01.06, 10.01.08, 10.01.10, 10.01.12 - Verify 6 links in Women's Deals section are visible and clickable","tests","Mon Nov 11 01:54:35 GMT 2024","passed","Mon Nov 11 01:54:35 GMT 2024","TestSalePage","test_sale","",""
"Check title-text and content-text in 3-columns block - sale-women-t-shirts","165","TC 10.04.15 - Verify the text in 3-columns block - sale-women-t-shirts","tests","Mon Nov 11 01:56:35 GMT 2024","passed","Mon Nov 11 01:56:35 GMT 2024","TestSalePage","test_sale","",""
"Check that Contact Us link in footer is correct","0","TC 02.02.05 - Check Contact Us link in footer leads to the correct page from each page specified in DATA_1","tests","Mon Nov 11 01:42:13 GMT 2024","skipped","Mon Nov 11 01:42:13 GMT 2024","TestFooter","test_footer","",""
"Check Shopping Cart title is displayed correctly","1246","tc 07.01.01 Verify that title Shopping Cart is displayed correctly","tests","Mon Nov 11 01:56:37 GMT 2024","passed","Mon Nov 11 01:56:38 GMT 2024","TestShoppingCart","test_shopping_cart","",""
"Verify the link 'Training' is visible and interactive and link 'Video Download' is visible","1635","TC_01_03_32_visible_and_interactive_the_link_""Training""","tests","Mon Nov 11 01:43:48 GMT 2024","passed","Mon Nov 11 01:43:49 GMT 2024","TestHeader","test_header","",""
"This test checks if the image in section 2 block 5 'home-eco' is correct
            in the Promo Block under header on the main page","1346","TC 13.01.36 - Check the display of the image in block 5 'home-eco' in the Promo Block","tests","Mon Nov 11 01:50:53 GMT 2024","passed","Mon Nov 11 01:50:54 GMT 2024","TestMainPage","test_main_page","",""
"This test checks that if a product has a review, then the product card has a rating","632","test_check_card_rating","tests","Mon Nov 11 01:47:42 GMT 2024","passed","Mon Nov 11 01:47:43 GMT 2024","TestMainPage","test_main_page","",""
" Verify that Sign in Information heading is present","103","TC 04_01_10 Verify Sign in Information heading","tests","Mon Nov 11 01:38:56 GMT 2024","passed","Mon Nov 11 01:38:56 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check that five links in Men's Deals section lead to the correct pages after click","823","TC 10.02.03, 10.02.05, 10.02.07, 10.02.09, 10.02.11 - Verify 5 links in Men's Deals open the correct pages","tests","Mon Nov 11 01:55:29 GMT 2024","passed","Mon Nov 11 01:55:30 GMT 2024","TestSalePage","test_sale","",""
"Verify that text-1 in 'Last chance for pants' block correctly displayed","0","TC 14.06.17 Verify that the 'Last chance for pants' text is visible.","tests","Mon Nov 11 01:53:19 GMT 2024","skipped","Mon Nov 11 01:53:19 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Check the 'Bottoms' subsection in 'Women' section is displayed and the 'Pants' and 'Shorts'         subsections is displayed","2003","TC 01.03.11 display and interactivity of the ""Bottoms"" section of the ""Women"" section","tests","Mon Nov 11 01:47:12 GMT 2024","passed","Mon Nov 11 01:47:14 GMT 2024","TestHeader","test_header","",""
"Check that Orders and Returns link in footer is correct","2884","TC 02.02.04 - Check Orders and Returns link in footer leads to the correct page from each page specified in DATA_1","tests","Mon Nov 11 01:42:07 GMT 2024","passed","Mon Nov 11 01:42:10 GMT 2024","TestFooter","test_footer","",""
"Check that five elements in Men's Deals section are displayed and enabled","52","TC 10.02.02, 10.02.04, 10.02.06, 10.02.08, 10.02.10 - Verify 5 links in Men's Deals section are visible and clickable","tests","Mon Nov 11 01:55:07 GMT 2024","passed","Mon Nov 11 01:55:07 GMT 2024","TestSalePage","test_sale","",""
"Checks if text of Privacy and Cookie Policy link matches expected on each page in DATA_1","1404","TC 02.01.12 - Check text of Privacy and Cookie Policy link on each page specified in DATA_1","tests","Mon Nov 11 01:40:41 GMT 2024","passed","Mon Nov 11 01:40:42 GMT 2024","TestFooter","test_footer","",""
"Check that Search Terms link in footer is correct","0","TC 02.02.01 - Check Search Terms link in footer leads to the correct page from each page specified in DATA_1","tests","Mon Nov 11 01:41:49 GMT 2024","skipped","Mon Nov 11 01:41:49 GMT 2024","TestFooter","test_footer","",""
"Checks if Subscribe Email Field is visible on each page in DATA_1","0","TC 02.01.48 - Check display of Subscribe Email Field on each page specified in DATA_1","tests","Mon Nov 11 01:41:49 GMT 2024","skipped","Mon Nov 11 01:41:49 GMT 2024","TestFooter","test_footer","",""
"Check error message on attempt to log in with empty email","414","TC 03.02.04 Verify error on attempting to log in with empty email - Negative","tests","Mon Nov 11 02:00:37 GMT 2024","passed","Mon Nov 11 02:00:38 GMT 2024","TestLogin","test_sign_in","",""
" Verify that Last name input field highlighted when clicked","777","TC 04_01_08 Verify Last name input field highlighting on click","tests","Mon Nov 11 01:38:52 GMT 2024","passed","Mon Nov 11 01:38:53 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Checks if text of Advanced Search link is correct on each page in DATA_1","1147","TC 02.01.17 - Check text of Advanced Search link on each page specified in DATA_1","tests","Mon Nov 11 01:41:03 GMT 2024","passed","Mon Nov 11 01:41:04 GMT 2024","TestFooter","test_footer","",""
"Checks if Write for us link is visible on each page in DATA_1","0","TC 02.01.29 - Check display of Write for us link on each page specified in DATA_1","tests","Mon Nov 11 01:41:28 GMT 2024","skipped","Mon Nov 11 01:41:28 GMT 2024","TestFooter","test_footer","",""
"Checks if 'Contact us' link is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.23 - Check 'Contact us' link is present in the DOM tree on each page specified in DATA_1","tests","Mon Nov 11 01:41:28 GMT 2024","skipped","Mon Nov 11 01:41:28 GMT 2024","TestFooter","test_footer","",""
"Checks if text of Copyright section is correct on each page in DATA_1","0","TC 02.01.37 - Check text of Copyright section on each page specified in DATA_1","tests","Mon Nov 11 01:41:49 GMT 2024","skipped","Mon Nov 11 01:41:49 GMT 2024","TestFooter","test_footer","",""
"This test checks if the image in section 2 block 2 'home-t-shirts' is visible","1366","TC 13.01.21 - Check the display of an image in block 2 'home-t-shirts' in the Promo Block","tests","Mon Nov 11 01:50:05 GMT 2024","passed","Mon Nov 11 01:50:06 GMT 2024","TestMainPage","test_main_page","",""
"Checking title of the Style section","1235","test_tc_19_01_02","tests","Mon Nov 11 01:53:30 GMT 2024","passed","Mon Nov 11 01:53:31 GMT 2024","TestPromotionPantsPage","test_promotion_pants","",""
" Verify that First name input field highlighted when label is clicked","841","TC 04_01_04 Verify First name input field highlighting on label click","tests","Mon Nov 11 01:38:40 GMT 2024","passed","Mon Nov 11 01:38:40 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check 'Shorts' subsection link in 'Men' section click redirects to the Shorts page and             the 'Shorts' header is displayed","4221","TC 01.03.26 correctness ""Shorts"" link","tests","Mon Nov 11 01:44:21 GMT 2024","passed","Mon Nov 11 01:44:25 GMT 2024","TestHeader","test_header","",""
"Checks if Write for us link is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.28 - Check Write for us link is present in the DOM tree on each page specified in DATA_1","tests","Mon Nov 11 01:41:28 GMT 2024","skipped","Mon Nov 11 01:41:28 GMT 2024","TestFooter","test_footer","",""
"This test checks block-promo training-erin is displayed","0","TC 16.02.03 - Check the display of block 2 erin","tests","Mon Nov 11 02:02:12 GMT 2024","skipped","Mon Nov 11 02:02:12 GMT 2024","TestMainPage","test_training","",""
"This test checks if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","1583","TC 02.01.10 - Check if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","tests","Mon Nov 11 01:40:35 GMT 2024","passed","Mon Nov 11 01:40:37 GMT 2024","TestFooter","test_footer","",""
"Check that two links in Gear Deals section lead to the correct pages after click","813","TC 10.03.03, 10.03.05 - Verify 2 links in Gear Deals open the correct pages","tests","Mon Nov 11 01:55:44 GMT 2024","passed","Mon Nov 11 01:55:45 GMT 2024","TestSalePage","test_sale","",""
"Check if the password input field is present","47","TC 03.01.09 Verify Password field is present","tests","Mon Nov 11 01:59:50 GMT 2024","passed","Mon Nov 11 01:59:50 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Checks if Advanced Search link is visible on each page in DATA_1","1674","TC 02.01.14 - Check display of Advanced Search link on each page specified in DATA_1","tests","Mon Nov 11 01:40:54 GMT 2024","passed","Mon Nov 11 01:40:56 GMT 2024","TestFooter","test_footer","",""
"Checks if text on Subscribe Button is correct on each page in DATA_1","0","TC 02.01.46 - Check text on Subscribe Button on each page specified in DATA_1","tests","Mon Nov 11 01:41:49 GMT 2024","skipped","Mon Nov 11 01:41:49 GMT 2024","TestFooter","test_footer","",""
"This test checks block-promo training-main is displayed","0","TC 16.02.02 - Check the display of block 1 main","tests","Mon Nov 11 02:02:12 GMT 2024","skipped","Mon Nov 11 02:02:12 GMT 2024","TestMainPage","test_training","",""
"Check if the displayed email matches the entered email in Email field","271","TC 03.01.08 Verify displayed email matches the entered email in Email field","tests","Mon Nov 11 01:59:47 GMT 2024","passed","Mon Nov 11 01:59:47 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Check error message for incorrect email format in email field","267","TC 17.01.08 Verify Email field for correct email format","tests","Mon Nov 11 01:42:34 GMT 2024","passed","Mon Nov 11 01:42:35 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"Checks if text of 'Contact us' link is correct on each page in DATA_1","0","TC 02.01.27 - Check text of 'Contact us' link on each page specified in DATA_1","tests","Mon Nov 11 01:41:28 GMT 2024","skipped","Mon Nov 11 01:41:28 GMT 2024","TestFooter","test_footer","",""
"Check Shopping Cart title is displayed correctly","1918","tc 07.02.01 Verify that title Shopping Cart is displayed correctly when it is full","tests","Mon Nov 11 01:56:51 GMT 2024","passed","Mon Nov 11 01:56:53 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Check that the list of items in the Shopping Cart contains title item which was added from More Choices","5893","TC 07.02.27 Verify that the list of items in the Shopping Cart is displayed correct","tests","Mon Nov 11 01:59:09 GMT 2024","passed","Mon Nov 11 01:59:15 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Check if 'Create an Account' button link opens correct page","1303","TC 03.01.23 Verify Create an Account button is functional","tests","Mon Nov 11 02:00:29 GMT 2024","passed","Mon Nov 11 02:00:30 GMT 2024","TestNewCustomers","test_sign_in","",""
"Check that the cursor changes to a 'hand' indicating the logo is a clickable element,         and that clicking on it causes the page to reload and redirect to the main page","1622","TC 01.02.04 display and interactivity of the logo","tests","Mon Nov 11 01:43:18 GMT 2024","passed","Mon Nov 11 01:43:20 GMT 2024","TestHeader","test_header","",""
"Check 'Create an account' link click redirects to the account’s registration page and         the ""Create New Customer Account"" header is displayed","2636","TC 01.01.03 correctness of the ""Create an account"" link","tests","Mon Nov 11 01:43:07 GMT 2024","passed","Mon Nov 11 01:43:10 GMT 2024","TestHeader","test_header","",""
" Verify presence of Password Strength note ","71","TC 04_01_15 Verify presence of password strength hint","tests","Mon Nov 11 01:39:12 GMT 2024","passed","Mon Nov 11 01:39:12 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
" Verify that customer can't Create An Account with registered email before ","2554","test 04.02.08 create an account with registered email","tests","Mon Nov 11 01:39:22 GMT 2024","passed","Mon Nov 11 01:39:24 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Checks if text of 'Subscribe to our mailing list' link is correct on each page in DATA_1","0","TC 02.01.56 - Check text of 'Subscribe to our mailing list' link on each page specified in DATA_1","tests","Mon Nov 11 01:41:49 GMT 2024","skipped","Mon Nov 11 01:41:49 GMT 2024","TestFooter","test_footer","",""
"Verify that the link 'Bottoms' correctly opens and redirects to a new webpage, the header 'Bottoms' is
          displayed","2191","TC 14.02.05 Verify the link 'Bottoms' redirects to a correct page.","tests","Mon Nov 11 01:52:22 GMT 2024","passed","Mon Nov 11 01:52:24 GMT 2024","TestMenPage","test_men","",""
"Verify that text-3 in 'Last chance for pants' block correctly displayed","0","TC 14.06.19 Verify that the 'Shop Pants' text is visible.","tests","Mon Nov 11 01:53:19 GMT 2024","skipped","Mon Nov 11 01:53:19 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Check error on Failed Login with invalid credentials, case-sensitive password and password with spaces","1547","TC 03.02.02 to 03_02_10 Verify Error on Failed Login with invalid credentials","tests","Mon Nov 11 02:01:43 GMT 2024","passed","Mon Nov 11 02:01:45 GMT 2024","TestFailedLogin","test_sign_in","",""
"This test checks if info block in section 2 block 2 'home-t-shirts' is displayed
            in the Promo Block under header on the main page","1323","TC 13.01.22 - Check the display of the info block in block 2 't-shirts' in the Promo Block","tests","Mon Nov 11 01:50:10 GMT 2024","passed","Mon Nov 11 01:50:12 GMT 2024","TestMainPage","test_main_page","",""
"Checks if text on Subscribe Button is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.44 - Check text on Subscribe Button is present in the DOM tree on each page specified in DATA_1","tests","Mon Nov 11 01:41:49 GMT 2024","skipped","Mon Nov 11 01:41:49 GMT 2024","TestFooter","test_footer","",""
"Check that table headers in item cart are visible","481","test_tc_07_02_02_Verify_table_headers_in_item_cart_are_visible[t_header3]","tests","Mon Nov 11 01:58:37 GMT 2024","passed","Mon Nov 11 01:58:38 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Verify the 'My Wish List' subtitle is visible","1013","TC 18.01.02 subtitle is displayed text My Wish List","tests","Mon Nov 11 02:02:18 GMT 2024","passed","Mon Nov 11 02:02:20 GMT 2024","TestTrainingVideoDownload","test_training_video_download","",""
"Verify that the link 'Pants' correctly opens and redirects to a new webpage, the header 'Pants' is
              displayed","2270","TC 14.04.03 Verify the link 'Pants' redirects to a correct page.","tests","Mon Nov 11 01:53:06 GMT 2024","passed","Mon Nov 11 01:53:08 GMT 2024","TestMenPage","test_men","",""
"Checks if text on Subscribe Button is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.44 - Check text on Subscribe Button is present in the DOM tree on each page specified in DATA_1","tests","Mon Nov 11 01:41:49 GMT 2024","skipped","Mon Nov 11 01:41:49 GMT 2024","TestFooter","test_footer","",""
"Check the 'Tops' subsection in 'Women' section is displayed and the 'Jackets', 'Shorts',         'Hoodies & Sweatshirts', 'Tees' and 'Bras & Tanks' subsections is displayed","2100","TC 01.03.05 display and interactivity of the ""Tops"" section of the ""Women"" section","tests","Mon Nov 11 01:46:39 GMT 2024","passed","Mon Nov 11 01:46:41 GMT 2024","TestHeader","test_header","",""
"Check if Password field is appropriately labeled ","72","TC 03.01.11 Verify Password field is appropriately labeled","tests","Mon Nov 11 01:59:55 GMT 2024","passed","Mon Nov 11 01:59:55 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Check 'Bras & Tanks' subsection link click in 'Women' section redirects to the Bras & Tanks-women page and         the 'Bras & Tanks' header is displayed","3921","TC 01.03.10 correctness of the ""Bras"" link of the ""Women"" section","tests","Mon Nov 11 01:47:07 GMT 2024","passed","Mon Nov 11 01:47:11 GMT 2024","TestHeader","test_header","",""
"Checks if Orders and Returns link is visible on each page in DATA_1","1336","TC 02.01.19 - Check display of Orders and Returns link on each page specified in DATA_1","tests","Mon Nov 11 01:41:13 GMT 2024","passed","Mon Nov 11 01:41:14 GMT 2024","TestFooter","test_footer","",""
"Checks if placeholder in Email field is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.49 - Check placeholder in Subscribe Email Field is present in the DOM tree on each page specified in DATA_1","tests","Mon Nov 11 01:41:49 GMT 2024","skipped","Mon Nov 11 01:41:49 GMT 2024","TestFooter","test_footer","",""
"Check the 'Sign In' link is not displayed if the user is authorized","10533","TC 01.01.07 absence of the ""Sign In"" link display","tests","Mon Nov 11 01:45:06 GMT 2024","broken","Mon Nov 11 01:45:17 GMT 2024","TestHeader","test_header","",""
"This test checks if the info block title in section 2 block 3 'home-erin' is correct
            in the Promo Block under header on the main page","1630","TC 13.01.28 - Check the display of the title in block 3 'home-erin' in the Promo Block","tests","Mon Nov 11 01:50:29 GMT 2024","passed","Mon Nov 11 01:50:31 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if block 3 'home-erin' in section 2 in the Promo Block is present
            in the DOM tree on the main page","1293","TC 13.01.46 - Check block 3 'home-erin' in section 2 of the Promo Block is present in the DOM tree","tests","Mon Nov 11 01:51:25 GMT 2024","passed","Mon Nov 11 01:51:26 GMT 2024","TestMainPage","test_main_page","",""
"Verify that the link 'Shorts' is displayed and clickable","2417","TC 14.04.04 Verify the link 'Shorts' is visible and clickable.","tests","Mon Nov 11 01:53:10 GMT 2024","passed","Mon Nov 11 01:53:12 GMT 2024","TestMenPage","test_men","",""
" Verify presence of Password Strength hint and warning color of weak password ","308","TC 04_02_09_13 Verify presence of strong password strength hint","tests","Mon Nov 11 01:39:59 GMT 2024","passed","Mon Nov 11 01:39:59 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
" Verify presence of Password label and the required asterisk ","742","TC 04_01_13 Verify presence of Password label and the required asterisk","tests","Mon Nov 11 01:39:05 GMT 2024","passed","Mon Nov 11 01:39:06 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Verify that text-1 in 'Luma hoodies' block correctly displayed","0","TC 14.06.35 Verify that the 'Luma hoodies' text is visible.","tests","Mon Nov 11 01:53:19 GMT 2024","skipped","Mon Nov 11 01:53:19 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Check that five elements in Men's Deals section are displayed and enabled","29","TC 10.02.02, 10.02.04, 10.02.06, 10.02.08, 10.02.10 - Verify 5 links in Men's Deals section are visible and clickable","tests","Mon Nov 11 01:55:14 GMT 2024","passed","Mon Nov 11 01:55:14 GMT 2024","TestSalePage","test_sale","",""
"Checks if Copyright section is present in the DOM tree on each page specified in DATA_1","1241","TC 02.01.33 - Check Copyright section is present in the DOM tree on each page specified in DATA_1","tests","Mon Nov 11 01:41:29 GMT 2024","passed","Mon Nov 11 01:41:30 GMT 2024","TestFooter","test_footer","",""
"Check Success Login with correct credentials","2315","TC 03.02.09 Verify login with valid mail containing trailing leading_spaces - Positive","tests","Mon Nov 11 02:00:50 GMT 2024","passed","Mon Nov 11 02:00:52 GMT 2024","TestLogin","test_sign_in","",""
