"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify subtotal for items: subtotal = price * qty and displayed correctly.","3147","tc 07.02.21 Verify subtotal for items: subtotal = price * qty and displayed correctly.","tests","Sun Apr 27 01:39:14 GMT 2025","passed","Sun Apr 27 01:39:18 GMT 2025","TestShoppingCartFull","test_shopping_cart","",""
"Check that transfers between pages by clicking on links in the footer are correct","0","TC 02.03.01 - Check correct transfers by clicking on links in the footer","tests","Sun Apr 27 01:23:19 GMT 2025","skipped","Sun Apr 27 01:23:19 GMT 2025","TestFooter","test_footer","",""
" Verify presence of Email label and the required asterisk ","712","TC 04_01_11 Verify presence of email label and the required asterisk","tests","Sun Apr 27 01:20:30 GMT 2025","passed","Sun Apr 27 01:20:31 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
" Verify presence of Password Strength hint and warning color of weak password ","276","TC 04_02_09_13 Verify presence of strong password strength hint","tests","Sun Apr 27 01:21:18 GMT 2025","passed","Sun Apr 27 01:21:18 GMT 2025","TestCreateAnAccount","test_create_an_account","",""
"Check that two links in Gear Deals section lead to the correct pages after click","1368","TC 10.04.03, 10.04.06, 10.04.09 - Verify that links in Main block, 2 columns block open the correct pages","tests","Sun Apr 27 01:38:05 GMT 2025","passed","Sun Apr 27 01:38:06 GMT 2025","TestSalePage","test_sale","",""
"This test check the cursor change when hovering over the block training main","0","TC 16.02.06 Check the cursor change to block training main ","tests","Sun Apr 27 01:43:37 GMT 2025","skipped","Sun Apr 27 01:43:37 GMT 2025","TestMainPage","test_training","",""
"Check 'Tees' subsection link click in 'Women' section redirects to the Tees-women page and         the 'Tees' header is displayed","2760","TC 01.03.09 correctness of the ""Tees"" link of the ""Women"" section","tests","Sun Apr 27 01:27:11 GMT 2025","passed","Sun Apr 27 01:27:13 GMT 2025","TestHeader","test_header","",""
"This test checks if block 3 'home-erin' in section 2 in the Promo Block is present
            in the DOM tree on the main page","6106","TC 13.01.46 - Check block 3 'home-erin' in section 2 of the Promo Block is present in the DOM tree","tests","Sun Apr 27 01:32:45 GMT 2025","broken","Sun Apr 27 01:32:51 GMT 2025","TestMainPage","test_main_page","",""
"This test checks if the info block title in section 2 block 1 'home-pants' is correct
            in the Promo Block under header on the Main Page","6387","TC 13.01.18 - Check the display of the title in block 1 'home-pants' in the Promo Block","tests","Sun Apr 27 01:30:17 GMT 2025","broken","Sun Apr 27 01:30:24 GMT 2025","TestMainPage","test_main_page","",""
"Verify 'Training - Video Download' link click redirected to the 'Video Download' page
            and the 'Video Download' header is displayed","2914","TC 01.03.34 correctly redirected the link ""Training Video Download""","tests","Sun Apr 27 01:24:34 GMT 2025","passed","Sun Apr 27 01:24:37 GMT 2025","TestHeader","test_header","",""
"Check if the displayed email matches the entered email in Email field","197","TC 17.01.07 Verify displayed email matches the entered email in FYP Email field","tests","Sun Apr 27 01:23:35 GMT 2025","passed","Sun Apr 27 01:23:35 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"Check Category title is visible","885","TC 12.02.01 Check side panel title Category is visible","tests","Sun Apr 27 01:43:55 GMT 2025","passed","Sun Apr 27 01:43:56 GMT 2025","TestWomenPage","test_women","",""
"This test checks if block 1 'home-pants' in section 2 in Promo Block under header is clickable","6758","TC 13.01.50 - Check if block 1 'home-pants' in section 2 is clickablein the Promo Block on the main page","tests","Sun Apr 27 01:33:12 GMT 2025","broken","Sun Apr 27 01:33:19 GMT 2025","TestMainPage","test_main_page","",""
"Check Shopping Cart title is displayed correctly","1365","tc 07.02.01 Verify that title Shopping Cart is displayed correctly when it is full","tests","Sun Apr 27 01:38:38 GMT 2025","passed","Sun Apr 27 01:38:39 GMT 2025","TestShoppingCartFull","test_shopping_cart","",""
"Check error on Failed Login with invalid credentials, case-sensitive password and password with spaces","1141","TC 03.02.02 to 03_02_10 Verify Error on Failed Login with invalid credentials","tests","Sun Apr 27 01:42:57 GMT 2025","passed","Sun Apr 27 01:42:59 GMT 2025","TestFailedLogin","test_sign_in","",""
"Check if the Email input field is present","65","TC 17.01.03 Verify FYP Email field is present","tests","Sun Apr 27 01:23:25 GMT 2025","passed","Sun Apr 27 01:23:26 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"Check Login Page Heading is present ","46","TC 03.01.01 Verify Sign In Page h1 Header","tests","Sun Apr 27 01:41:02 GMT 2025","passed","Sun Apr 27 01:41:02 GMT 2025","TestRegisteredCustomers","test_sign_in","",""
"Checks if text of Advanced Search link is correct on each page in DATA_1","971","TC 02.01.17 - Check text of Advanced Search link on each page specified in DATA_1","tests","Sun Apr 27 01:22:23 GMT 2025","passed","Sun Apr 27 01:22:24 GMT 2025","TestFooter","test_footer","",""
"","878","TC 14.02.02 Verify the link Tops is visible and clickable.","tests","Sun Apr 27 01:34:40 GMT 2025","passed","Sun Apr 27 01:34:41 GMT 2025","TestMenPage","test_men","",""
"Check 'Shorts' subsection link in 'Men' section click redirects to the Shorts page and             the 'Shorts' header is displayed","3110","TC 01.03.26 correctness ""Shorts"" link","tests","Sun Apr 27 01:25:05 GMT 2025","passed","Sun Apr 27 01:25:09 GMT 2025","TestHeader","test_header","",""
"Check that six elements in Women's Deals section are displayed and enabled","35","TC 10.01.02, 10.01.04, 10.01.06, 10.01.08, 10.01.10, 10.01.12 - Verify 6 links in Women's Deals section are visible and clickable","tests","Sun Apr 27 01:36:47 GMT 2025","passed","Sun Apr 27 01:36:47 GMT 2025","TestSalePage","test_sale","",""
"Check Success and Failed Login, no error validation","2297","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Sun Apr 27 01:42:32 GMT 2025","passed","Sun Apr 27 01:42:35 GMT 2025","TestFailedLogin","test_sign_in","",""
"Checks if Subscribe section is visible on each page in DATA_1","0","TC 02.01.39 - Check display of Subscribe section on each page specified in DATA_1","tests","Sun Apr 27 01:23:01 GMT 2025","skipped","Sun Apr 27 01:23:01 GMT 2025","TestFooter","test_footer","",""
"Verify that the link 'Hoodies&Sweatshirts' is displayed and clickable","1530","TC 14.03.02 Verify the link 'Hoodies&Sweatshirts' is visible and clickable.","tests","Sun Apr 27 01:34:53 GMT 2025","passed","Sun Apr 27 01:34:54 GMT 2025","TestMenPage","test_men","",""
"Check error message for incorrect email format in email field","198","TC 17.01.08 Verify Email field for correct email format","tests","Sun Apr 27 01:23:38 GMT 2025","passed","Sun Apr 27 01:23:38 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"This test checks if Search Terms link is underlined while hovering over it","1375","TC 02.01.06 Check if Search Terms link is interactive","tests","Sun Apr 27 01:21:50 GMT 2025","passed","Sun Apr 27 01:21:51 GMT 2025","TestFooter","test_footer","",""
"This test checks if section 1 in Promo Block under header is clickable","1575","TC 13.01.49 - Check if section 1 is clickable in the Promo Block on the main page","tests","Sun Apr 27 01:33:09 GMT 2025","passed","Sun Apr 27 01:33:11 GMT 2025","TestMainPage","test_main_page","",""
"This test checks ""Orders and Returns"" header is visible and has correct text","48","TC 05.01.01 - Verify that 'Order and Returns' Page Heading is present","tests","Sun Apr 27 01:35:30 GMT 2025","passed","Sun Apr 27 01:35:30 GMT 2025","TestOrdersAndReturnsPage","test_orders_and_returns","",""
"Checks if Advanced Search link is present in the DOM tree on each page specified in DATA_1","958","TC 02.01.13 - Check Advanced Search link is present in the DOM tree on each page specified in DATA_1","tests","Sun Apr 27 01:22:10 GMT 2025","passed","Sun Apr 27 01:22:11 GMT 2025","TestFooter","test_footer","",""
"Checks if text on Subscribe Button is correct on each page in DATA_1","0","TC 02.01.46 - Check text on Subscribe Button on each page specified in DATA_1","tests","Sun Apr 27 01:23:01 GMT 2025","skipped","Sun Apr 27 01:23:01 GMT 2025","TestFooter","test_footer","",""
