"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Registered Customers Heading is present ","51","TC 03.01.02 Verify Registered Customers Heading","tests","Sat Jan 18 01:49:55 GMT 2025","passed","Sat Jan 18 01:49:55 GMT 2025","TestRegisteredCustomers","test_sign_in","",""
"Verify that the section Women in the header is visible and interactive","323","TC 01.03.03 display and interactivity of the ""Women"" section","tests","Sat Jan 18 01:30:26 GMT 2025","passed","Sat Jan 18 01:30:27 GMT 2025","TestHeader","test_header","",""
"Check Registered Customers note is present ","103","TC 17.01.02 Verify Forgot Your Password note","tests","Sat Jan 18 01:28:59 GMT 2025","passed","Sat Jan 18 01:28:59 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"This test checks if the image in section 2 block 1 'home-pants' is correct","1260","TC 13.01.16 - Check correctness of the image in block 1 'home-pants' in the Promo Block","tests","Sat Jan 18 01:37:21 GMT 2025","broken","Sat Jan 18 01:37:22 GMT 2025","TestMainPage","test_main_page","",""
"Check Success and Failed Login, no error validation","2446","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Sat Jan 18 01:51:38 GMT 2025","passed","Sat Jan 18 01:51:40 GMT 2025","TestFailedLogin","test_sign_in","",""
"This test checks if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","1031","TC 02.01.10 - Check if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","tests","Sat Jan 18 01:27:32 GMT 2025","passed","Sat Jan 18 01:27:33 GMT 2025","TestFooter","test_footer","",""
"Checks if Privacy and Cookie Policy link is present in the DOM tree on each page specified in DATA_1","1244","TC 02.01.08 - Check Privacy and Cookie Policy link is present in the DOM tree on each page specified in DATA_1","tests","Sat Jan 18 01:27:20 GMT 2025","passed","Sat Jan 18 01:27:21 GMT 2025","TestFooter","test_footer","",""
"Check that bags link is correct","1566","test_TC_11_01_03","tests","Sat Jan 18 01:29:25 GMT 2025","passed","Sat Jan 18 01:29:27 GMT 2025","TestGearPage","test_gear","",""
"
        The user is NOT logged in, located in the product card, section ""Reviews""
        1. All required fields are filled with correct data
        2. Pressed 2 star
        3.The ""Submit Review"" button is pressed
        Result: Present in the DOM and visible on the page the message: ""You submitted your review for moderation.
        This code works when run on Win, Mac, Ubuntu on a real laptop and has the features of working on GitHub Action.
        When interacting with the GitHub Action, it checks not for the text of the ""Success"" message, but for the ""Success"" URL""
        ","12036","TC 01_15_01 Verify possibility to vote with 2 stars","tests","Sat Jan 18 01:44:24 GMT 2025","passed","Sat Jan 18 01:44:36 GMT 2025","TestReviews","test_reviews_page","",""
"This test checks if section 2 in the Promo Block is present in the DOM tree on the main page","7066","TC 13.01.43 - Check section 2 in the Promo Block is present in the DOM tree","tests","Sat Jan 18 01:40:45 GMT 2025","broken","Sat Jan 18 01:40:52 GMT 2025","TestMainPage","test_main_page","",""
"This test checks if the info block text in section 1 'home-main' is correct
            in the Promo Block under header on the Main Page","2221","TC 13.01.06 - Check the display of the info block text in section 1 'home-main' in the Promo Block","tests","Sat Jan 18 01:36:00 GMT 2025","passed","Sat Jan 18 01:36:02 GMT 2025","TestMainPage","test_main_page","",""
"Checks if Advanced Search link is visible on each page in DATA_1","1311","TC 02.01.14 - Check display of Advanced Search link on each page specified in DATA_1","tests","Sat Jan 18 01:27:44 GMT 2025","passed","Sat Jan 18 01:27:46 GMT 2025","TestFooter","test_footer","",""
"Check 'Hoodies & Sweatshirts' subsection link click in 'Women' section redirects to the         Hoodies & Sweatshirts-women page and the 'Hoodies & Sweatshirts' header is displayed","3012","TC 01.03.08 correctness of the ""Hoodies & Sweatshirts"" link of the ""Women"" section","tests","Sat Jan 18 01:33:08 GMT 2025","passed","Sat Jan 18 01:33:11 GMT 2025","TestHeader","test_header","",""
"Verify that the block 'Luma hoodies' is displayed on the Men page","0","TC 14.06.33 Verify the visibility of 'Luma hoodies' promo block.","tests","Sat Jan 18 01:44:05 GMT 2025","skipped","Sat Jan 18 01:44:05 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Verify the link 'Fitness Equipment' redirected to the page and the 'Fitness Equipment' header is displayed","2511","TC 01.03.31 correctly redirected the link ""Gear - Watches""","tests","Sat Jan 18 01:31:08 GMT 2025","passed","Sat Jan 18 01:31:10 GMT 2025","TestHeader","test_header","",""
"
            This test will check that the add to wishlist and add to compare buttons are visible on the screen
            ","1665","Check the display of the add to wish and add to compare buttons","tests","Sat Jan 18 01:35:00 GMT 2025","passed","Sat Jan 18 01:35:02 GMT 2025","TestMainPage","test_main_page","",""
"Verify that the link 'Women' correctly opens and redirects to a new webpage, the header 'Women' is
        displayed","1919","TC 01.03.04 correct redirection of the link ""Women""","tests","Sat Jan 18 01:30:28 GMT 2025","passed","Sat Jan 18 01:30:30 GMT 2025","TestHeader","test_header","",""
"Check Sidebar Shop By title has correct text and is visible","95","TC 16.01.01 Verify Sidebar panel title Shop By is visible and contains text 'Shop By'","tests","Sat Jan 18 01:52:06 GMT 2025","passed","Sat Jan 18 01:52:06 GMT 2025","TestMainPage","test_training","",""
"Verify message ""We can not find products matching the selection."" is visible","775","TC 18.02.02 Verify message ""We can not find products matching the selection."" is visible","tests","Sat Jan 18 01:52:34 GMT 2025","passed","Sat Jan 18 01:52:34 GMT 2025","TestTrainingVideoDownload","test_training_video_download","",""
"Check that Advanced Search link in footer is correct","1846","TC 02.02.03 - Check Advanced Search link in footer leads to the correct page from each page specified in DATA_1","tests","Sat Jan 18 01:28:44 GMT 2025","passed","Sat Jan 18 01:28:46 GMT 2025","TestFooter","test_footer","",""
"Check img existence of 3rd column in 3-columns Promo Block section","20","TC 10.04.14 - Verify that the sale-women-t-shirts contains an image","tests","Sat Jan 18 01:47:02 GMT 2025","passed","Sat Jan 18 01:47:02 GMT 2025","TestSalePage","test_sale","",""
"Check that Apply Discount Code is displayed.","1311","tc 07.02.24 Verify the Apply Discount Code is displayed","tests","Sat Jan 18 01:49:13 GMT 2025","passed","Sat Jan 18 01:49:14 GMT 2025","TestShoppingCartFull","test_shopping_cart","",""
"This test checks if Orders and Returns link is clickable on each page specified in DATA_1","1027","TC 02.01.20 - Check if Orders and Returns link is clickable on each page specified in DATA_1","tests","Sat Jan 18 01:28:11 GMT 2025","passed","Sat Jan 18 01:28:12 GMT 2025","TestFooter","test_footer","",""
"Check Success Login with correct credentials","2063","TC 03.02.01 Verify login with valid email valid password - Positive","tests","Sat Jan 18 01:50:52 GMT 2025","passed","Sat Jan 18 01:50:54 GMT 2025","TestLogin","test_sign_in","",""
"Check if Password field is appropriately labeled ","86","TC 03.01.11 Verify Password field is appropriately labeled","tests","Sat Jan 18 01:50:18 GMT 2025","passed","Sat Jan 18 01:50:18 GMT 2025","TestRegisteredCustomers","test_sign_in","",""
"Checks if text on Subscribe Button is correct on each page in DATA_1","0","TC 02.01.46 - Check text on Subscribe Button on each page specified in DATA_1","tests","Sat Jan 18 01:28:36 GMT 2025","skipped","Sat Jan 18 01:28:36 GMT 2025","TestFooter","test_footer","",""
"Check that two elements in Gear Deals section are displayed and enabled","26","TC 10.03.02, 10.02.04 - Verify 2 links in Gear Deals section are visible and clickable","tests","Sat Jan 18 01:46:26 GMT 2025","passed","Sat Jan 18 01:46:26 GMT 2025","TestSalePage","test_sale","",""
"The test checks if the displayed captcha matches the entered value in the captcha field","0","TC 17.01.13 Verify displayed captcha matches the entered value in FYP captcha field","tests","Sat Jan 18 01:29:15 GMT 2025","skipped","Sat Jan 18 01:29:15 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"Check title-text and content-text in 2 columns block - Gear Deals","94","TC 10.04.08 - Verify the text in 2 columns block - Gear Deals","tests","Sat Jan 18 01:46:47 GMT 2025","passed","Sat Jan 18 01:46:47 GMT 2025","TestSalePage","test_sale","",""
"Checks if Copyright section is present in the DOM tree on each page specified in DATA_1","1309","TC 02.01.33 - Check Copyright section is present in the DOM tree on each page specified in DATA_1","tests","Sat Jan 18 01:28:18 GMT 2025","passed","Sat Jan 18 01:28:19 GMT 2025","TestFooter","test_footer","",""
"This test check the cursor change when hovering over the block training on demand","0","TC 16.02.08 Check the cursor change to block training on demand","tests","Sat Jan 18 01:52:19 GMT 2025","skipped","Sat Jan 18 01:52:19 GMT 2025","TestMainPage","test_training","",""
