"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the link 'What's new' redirected to the page and the 'What's new' header is displayed","3113","TC 01.03.02 correctly redirected the_link ""What is New""","tests","Thu Nov 21 01:48:20 GMT 2024","passed","Thu Nov 21 01:48:23 GMT 2024","TestHeader","test_header","",""
"Checks if text of Write for us link is correct on each page in DATA_1","0","TC 02.01.32 - Check text of Write for us link on each page specified in DATA_1","tests","Thu Nov 21 01:45:14 GMT 2024","skipped","Thu Nov 21 01:45:14 GMT 2024","TestFooter","test_footer","",""
"Verify that the block 'Luma hoodies' is displayed on the Men page","0","TC 14.06.33 Verify the visibility of 'Luma hoodies' promo block.","tests","Thu Nov 21 02:08:29 GMT 2024","skipped","Thu Nov 21 02:08:29 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Check Success and Failed Login, no error validation","4240","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Thu Nov 21 02:27:48 GMT 2024","passed","Thu Nov 21 02:27:53 GMT 2024","TestFailedLogin","test_sign_in","",""
"This test checks if Subscribe Button is clickable on each page specified in DATA_1","0","TC 02.01.42 - Check if Subscribe Button is clickable on each page specified in DATA_1","tests","Thu Nov 21 01:45:39 GMT 2024","skipped","Thu Nov 21 01:45:39 GMT 2024","TestFooter","test_footer","",""
"This test checks if block 5 'home-eco' in section 2 in Promo Block under header is clickable","1944","TC 13.01.54 - Check if block 5 'home-eco' in section 2 is clickablein the Promo Block on the main page","tests","Thu Nov 21 01:56:32 GMT 2024","passed","Thu Nov 21 01:56:34 GMT 2024","TestMainPage","test_main_page","",""
"This test checks block-promo training-on-demand is displayed","0","TC 16.02.04 - Check the display of block 3 on demand","tests","Thu Nov 21 02:28:47 GMT 2024","skipped","Thu Nov 21 02:28:47 GMT 2024","TestMainPage","test_training","",""
"This test checks if block 4 'home-performance' in section 2 in Promo Block under header is clickable","1882","TC 13.01.53 - Check if block 4 'home-performance' in section 2 is clickablein the Promo Block on the main page","tests","Thu Nov 21 01:56:29 GMT 2024","passed","Thu Nov 21 01:56:31 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if Search Terms link is clickable on each page specified in DATA_1","1841","TC 02.01.05 - Check if Search Terms link is clickable on each page specified in DATA_1","tests","Thu Nov 21 01:43:47 GMT 2024","passed","Thu Nov 21 01:43:49 GMT 2024","TestFooter","test_footer","",""
"This test checks if the sign in info block in section 2 block 5 'home-eco' is correct
            in the Promo Block under header on the main page","1664","TC 13.01.40 - Check the display of the sign in block 5 'home-eco' in the Promo Block","tests","Thu Nov 21 01:55:48 GMT 2024","passed","Thu Nov 21 01:55:49 GMT 2024","TestMainPage","test_main_page","",""
"Check title-text and content-text in 2 columns block - Gear Deals","342","TC 10.04.08 - Verify the text in 2 columns block - Gear Deals","tests","Thu Nov 21 02:11:33 GMT 2024","passed","Thu Nov 21 02:11:34 GMT 2024","TestSalePage","test_sale","",""
"Check title-text and content-text in main block - Women's Deals","303","TC 10.04.02 - Verify the text in main block - Women's Deals","tests","Thu Nov 21 02:11:27 GMT 2024","passed","Thu Nov 21 02:11:27 GMT 2024","TestSalePage","test_sale","",""
"This test checks if the sign in info block in section 2 block 3 'home-erin' is correct
            in the Promo Block under header on the main page","1845","TC 13.01.30 - Check the display of the sign in block 3 'home-erin' in the Promo Block","tests","Thu Nov 21 01:55:07 GMT 2024","passed","Thu Nov 21 01:55:09 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if the image in section 2 block 2 'home-t-shirts' is correct","1753","TC 13.01.21_01 - Check correctness of the image in block 2 'home-t-shirts' in the Promo Block","tests","Thu Nov 21 01:54:28 GMT 2024","passed","Thu Nov 21 01:54:30 GMT 2024","TestMainPage","test_main_page","",""
"","2239","TC 14.02.02 Verify the link Tops is visible and clickable.","tests","Thu Nov 21 01:57:06 GMT 2024","passed","Thu Nov 21 01:57:08 GMT 2024","TestMenPage","test_men","",""
