"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check the 'Create an account' link is not displayed if the user is authorized","8259","TC 01.01.06 absence of the ""Create an account"" link display","tests","Sun Mar 02 01:27:02 GMT 2025","broken","Sun Mar 02 01:27:11 GMT 2025","TestHeader","test_header","",""
"
        Check that the 'Reload captcha' button generates a new captcha image
        and ensure the new image source is different from the original image source
        ","0","TC 17.01.16 Verify click Reload captcha button generates a new captcha image","tests","Sun Mar 02 01:25:05 GMT 2025","skipped","Sun Mar 02 01:25:05 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"Check if Password field is appropriately labeled ","81","TC 03.01.11 Verify Password field is appropriately labeled","tests","Sun Mar 02 01:42:51 GMT 2025","passed","Sun Mar 02 01:42:51 GMT 2025","TestRegisteredCustomers","test_sign_in","",""
"Verify that the link 'Pants' is displayed and clickable","1592","TC 14.04.02 Verify the link 'Pants' is visible and clickable.","tests","Sun Mar 02 01:36:34 GMT 2025","passed","Sun Mar 02 01:36:35 GMT 2025","TestMenPage","test_men","",""
"Check that five elements in Men's Deals section are displayed and enabled","44","TC 10.02.02, 10.02.04, 10.02.06, 10.02.08, 10.02.10 - Verify 5 links in Men's Deals section are visible and clickable","tests","Sun Mar 02 01:38:34 GMT 2025","passed","Sun Mar 02 01:38:34 GMT 2025","TestSalePage","test_sale","",""
"Checks if 'Subscribe to our mailing list' link is present in the DOM tree on each page
        specified in DATA_1","0","TC 02.01.52 - Check 'Subscribe to our mailing list' link is present in the DOM tree on each page specified in DATA_1","tests","Sun Mar 02 01:24:26 GMT 2025","skipped","Sun Mar 02 01:24:26 GMT 2025","TestFooter","test_footer","",""
"Checks if the Search Terms link is present in the DOM tree on each page specified in DATA_1","951","TC 02.01.03 - Check Search Terms link is present in the DOM tree on each page specified in DATA_1","tests","Sun Mar 02 01:22:57 GMT 2025","passed","Sun Mar 02 01:22:58 GMT 2025","TestFooter","test_footer","",""
"
        The user is NOT logged in, located in the product card, section ""Reviews""
        1. All required fields are filled with correct data
        2. Pressed 5 star
        3.The ""Submit Review"" button is pressed
        Result: Present in the DOM and visible on the page the message: ""You submitted your review for moderation.
        This code works when run on Win, Mac, Ubuntu on a real laptop and has the features of working on GitHub Action.
        When interacting with the GitHub Action, it checks not for the text of the ""Success"" message, but for the ""Success"" URL""
        ","12097","TC 01_15_01 Verify possibility to vote with 5 stars","tests","Sun Mar 02 01:37:46 GMT 2025","passed","Sun Mar 02 01:37:58 GMT 2025","TestReviews","test_reviews_page","",""
"Verify that text-1 in 'Last chance for pants' block correctly displayed","0","TC 14.06.17 Verify that the 'Last chance for pants' text is visible.","tests","Sun Mar 02 01:36:46 GMT 2025","skipped","Sun Mar 02 01:36:46 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Check Success Login with correct credentials","1722","TC 03.02.06 Verify login with valid mix-cased email valid password - Positive","tests","Sun Mar 02 01:43:34 GMT 2025","passed","Sun Mar 02 01:43:36 GMT 2025","TestLogin","test_sign_in","",""
