"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check the 'Create an account' link is not displayed if the user is authorized","8340","TC 01.01.06 absence of the ""Create an account"" link display","tests","Thu Jan 02 01:43:02 GMT 2025","broken","Thu Jan 02 01:43:11 GMT 2025","TestHeader","test_header","",""
"Check Shop By title is visible","809","TC 12.01.01 Check side panel title Shop By is visible","tests","Thu Jan 02 02:01:51 GMT 2025","passed","Thu Jan 02 02:01:51 GMT 2025","TestWomenPage","test_women","",""
"Verify that click 'Forgot your password?' link opens correct page","700","TC 03.01.17 Verify Forgot Your Password link is functional","tests","Thu Jan 02 01:59:49 GMT 2025","passed","Thu Jan 02 01:59:50 GMT 2025","TestRegisteredCustomers","test_sign_in","",""
"Check the ""Search"" field in the header contains the placeholder 'Search entire store here...'","1255","TC 01.02.03 presence of a  placeholder in the ""Search"" field","tests","Thu Jan 02 01:41:43 GMT 2025","passed","Thu Jan 02 01:41:44 GMT 2025","TestHeader","test_header","",""
"This test checks if the image in section 2 block 4 'home-performance' is visible","1182","TC 13.01.31 - Check the display of an image in block 4 'home-performance' in the Promo Block","tests","Thu Jan 02 01:49:07 GMT 2025","broken","Thu Jan 02 01:49:08 GMT 2025","TestMainPage","test_main_page","",""
"Checks if 'Subscribe to our mailing list' link is visible on each page specified in DATA_1","0","TC 02.01.53 - Check 'Subscribe to our mailing list' link is visible on each page specified in DATA_1","tests","Thu Jan 02 01:40:11 GMT 2025","skipped","Thu Jan 02 01:40:11 GMT 2025","TestFooter","test_footer","",""
"Check 'Pants' subsection link click in 'Women' section redirects to the Pants page and         the 'Pants' header is displayed","3900","TC 01.03.13 correctness of the ""Pants"" link of the ""Women"" section","tests","Thu Jan 02 01:45:08 GMT 2025","passed","Thu Jan 02 01:45:11 GMT 2025","TestHeader","test_header","",""
"Check the display of the dropdown list after clicking the button if the user is authorized","8187","TC 01.01.09 functionality of the dropdown list button","tests","Thu Jan 02 01:43:32 GMT 2025","broken","Thu Jan 02 01:43:40 GMT 2025","TestHeader","test_header","",""
"Checks if Privacy and Cookie Policy link is present in the DOM tree on each page specified in DATA_1","1122","TC 02.01.08 - Check Privacy and Cookie Policy link is present in the DOM tree on each page specified in DATA_1","tests","Thu Jan 02 01:38:53 GMT 2025","passed","Thu Jan 02 01:38:54 GMT 2025","TestFooter","test_footer","",""
"Verify 'Training - Video Download' link click redirected to the 'Video Download' page
            and the 'Video Download' header is displayed","2396","TC 01.03.34 correctly redirected the link ""Training Video Download""","tests","Thu Jan 02 01:41:59 GMT 2025","passed","Thu Jan 02 01:42:01 GMT 2025","TestHeader","test_header","",""
"Check img existence of Gear Deals section","65","TC 10.04.07 - Verify that the Gear Deals contains an image","tests","Thu Jan 02 01:55:51 GMT 2025","passed","Thu Jan 02 01:55:51 GMT 2025","TestSalePage","test_sale","",""
"Verify that text-3 in 'Luma tees' block correctly displayed","0","TC 14.06.31 Verify that the 'Shop Tees' text is visible.","tests","Thu Jan 02 01:53:15 GMT 2025","skipped","Thu Jan 02 01:53:15 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Check that two links in Gear Deals section lead to the correct pages after click","1291","TC 10.04.03, 10.04.06, 10.04.09 - Verify that links in Main block, 2 columns block open the correct pages","tests","Thu Jan 02 01:56:03 GMT 2025","passed","Thu Jan 02 01:56:05 GMT 2025","TestSalePage","test_sale","",""
"Check that Advanced Search link in footer is correct","1453","TC 02.02.03 - Check Advanced Search link in footer leads to the correct page from each page specified in DATA_1","tests","Thu Jan 02 01:40:22 GMT 2025","passed","Thu Jan 02 01:40:24 GMT 2025","TestFooter","test_footer","",""
"Verify that text-2 in 'Save up to $24!' block correctly displayed","0","TC 14.06.12 Verify that the 'Buy 3 Luma tees' text in the 'Save up to $24!' promo block is visible.","tests","Thu Jan 02 01:53:15 GMT 2025","skipped","Thu Jan 02 01:53:15 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Checks if Subscribe Email Field is visible on each page in DATA_1","0","TC 02.01.48 - Check display of Subscribe Email Field on each page specified in DATA_1","tests","Thu Jan 02 01:40:11 GMT 2025","skipped","Thu Jan 02 01:40:11 GMT 2025","TestFooter","test_footer","",""
