"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that fitness_equipment link is correct","5511","test_TC_11_01_05","tests","Mon Jan 27 01:47:19 GMT 2025","broken","Mon Jan 27 01:47:24 GMT 2025","TestGearPage","test_gear","",""
"Check that the cursor changes to a 'hand' indicating the logo is a clickable element,         and that clicking on it causes the page to reload and redirect to the main page","5513","TC 01.02.04 display and interactivity of the logo","tests","Mon Jan 27 01:48:07 GMT 2025","broken","Mon Jan 27 01:48:13 GMT 2025","TestHeader","test_header","",""
"Check error message for incorrect email format in email field","5115","TC 17.01.08 Verify Email field for correct email format","tests","Mon Jan 27 01:46:31 GMT 2025","broken","Mon Jan 27 01:46:36 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"Check that the 'Reload captcha' button is clickable","0","TC 17.01.15 Verify Reload captcha button is clickable","tests","Mon Jan 27 01:46:36 GMT 2025","skipped","Mon Jan 27 01:46:36 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"Verify that the block 'Last chance for pants' is displayed on the Men page","0","TC 14.06.15 Verify the visibility of 'Last chance for pants' promo block.","tests","Mon Jan 27 02:03:12 GMT 2025","skipped","Mon Jan 27 02:03:12 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Check that two elements in Gear Deals section are displayed and enabled","5117","TC 10.03.02, 10.02.04 - Verify 2 links in Gear Deals section are visible and clickable","tests","Mon Jan 27 02:07:14 GMT 2025","broken","Mon Jan 27 02:07:19 GMT 2025","TestSalePage","test_sale","",""
"Verify title 'Video Download' is visible","5589","TC 18.02.01 title ""Video Download"" is visible","tests","Mon Jan 27 02:18:01 GMT 2025","broken","Mon Jan 27 02:18:07 GMT 2025","TestTrainingVideoDownload","test_training_video_download","",""
"Check Success and Failed Login, no error validation","5521","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Mon Jan 27 02:15:01 GMT 2025","broken","Mon Jan 27 02:15:07 GMT 2025","TestFailedLogin","test_sign_in","",""
"Checks if Orders and Returns link is present in the DOM tree on each page specified in DATA_1","5517","TC 02.01.18 - Check Orders and Returns link is present in the DOM tree on each page specified in DATA_1","tests","Mon Jan 27 01:43:21 GMT 2025","broken","Mon Jan 27 01:43:26 GMT 2025","TestFooter","test_footer","",""
"Check that the “here” link is displayed and clickable.","5498","tc 07.01.03 Verify that here link is displayed and clickable","tests","Mon Jan 27 02:09:32 GMT 2025","broken","Mon Jan 27 02:09:37 GMT 2025","TestShoppingCart","test_shopping_cart","",""
"Check error message on attempt to log in with empty password","5115","TC 03.02.05 Verify error on attempting to log in with empty email - Negative","tests","Mon Jan 27 02:14:41 GMT 2025","broken","Mon Jan 27 02:14:46 GMT 2025","TestLogin","test_sign_in","",""
"Verify that the block 'Luma shorts' is displayed on the Men page","0","TC 14.06.21 Verify the visibility of 'Luma shorts' promo block.","tests","Mon Jan 27 02:03:12 GMT 2025","skipped","Mon Jan 27 02:03:12 GMT 2025","TestMenPagePromoBlock","test_men","",""
"Check that link in section 2 block 2 'home-t-shirts' is correct","5537","TC 13.02.03 - Check the link in section 2 block 2 'home-t-shirts' in the Promo Block leads to the correct page","tests","Mon Jan 27 02:00:19 GMT 2025","broken","Mon Jan 27 02:00:25 GMT 2025","TestMainPage","test_main_page","",""
"Check that Apply Discount Code is displayed.","0","tc 07.02.24 Verify the Apply Discount Code is displayed","tests","Mon Jan 27 02:11:19 GMT 2025","broken","Mon Jan 27 02:11:19 GMT 2025","TestShoppingCartFull","test_shopping_cart","",""
"Checks if Advanced Search link is visible on each page in DATA_1","5516","TC 02.01.14 - Check display of Advanced Search link on each page specified in DATA_1","tests","Mon Jan 27 01:42:49 GMT 2025","broken","Mon Jan 27 01:42:55 GMT 2025","TestFooter","test_footer","",""
"This test checks ""Orders and Returns"" form header is visible and has correct text","5116","TC 05.01.02 - Verify that 'Order and Returns' form header is present","tests","Mon Jan 27 02:03:20 GMT 2025","broken","Mon Jan 27 02:03:25 GMT 2025","TestOrdersAndReturnsPage","test_orders_and_returns","",""
"Check 'Tops' subsection link click in 'Women' section redirects to the Tops-women page and         the 'Tops' header is displayed","5508","TC 01.03.06 correctness of the ""Tops"" link of the ""Women"" section","tests","Mon Jan 27 01:52:36 GMT 2025","broken","Mon Jan 27 01:52:41 GMT 2025","TestHeader","test_header","",""
