"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that watches link is correct","3738","test_TC_11_01_07","tests","Sun Dec 01 02:05:16 GMT 2024","passed","Sun Dec 01 02:05:19 GMT 2024","TestGearPage","test_gear","",""
"This test checks if Orders and Returns link is clickable on each page specified in DATA_1","1764","TC 02.01.20 - Check if Orders and Returns link is clickable on each page specified in DATA_1","tests","Sun Dec 01 02:03:10 GMT 2024","passed","Sun Dec 01 02:03:11 GMT 2024","TestFooter","test_footer","",""
"Verify that the link 'Tees' is displayed and clickable","3259","TC 14.03.06 Verify the link 'Tees' is visible and clickable.","tests","Sun Dec 01 02:15:54 GMT 2024","passed","Sun Dec 01 02:15:58 GMT 2024","TestMenPage","test_men","",""
"This test checks if the image in section 1 'home-main' is correct","1796","TC 13.01.04 - Check correctness of the image in section 1 'home-main' in the Promo Block","tests","Sun Dec 01 02:11:51 GMT 2024","passed","Sun Dec 01 02:11:53 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if Promo Block is present in the DOM tree on the main page","1499","TC 13.01.41 - Check Promo Block is present in the DOM tree","tests","Sun Dec 01 02:14:03 GMT 2024","passed","Sun Dec 01 02:14:05 GMT 2024","TestMainPage","test_main_page","",""
"Check that Privacy and Cookie Policy link in footer is correct","5617","TC 02.02.02 - Check Privacy and Cookie Policy link in footer leads to the correct page from each page specified in DATA_1","tests","Sun Dec 01 02:03:54 GMT 2024","passed","Sun Dec 01 02:04:00 GMT 2024","TestFooter","test_footer","",""
"Checks if Privacy and Cookie Policy link is visible on each page in DATA_1","1924","TC 02.01.09 - Check display of Privacy and Cookie Policy link on each page specified in DATA_1","tests","Sun Dec 01 02:02:12 GMT 2024","passed","Sun Dec 01 02:02:14 GMT 2024","TestFooter","test_footer","",""
"Check that link in section 2 block 2 'home-t-shirts' is correct","3905","TC 13.02.03 - Check the link in section 2 block 2 'home-t-shirts' in the Promo Block leads to the correct page","tests","Sun Dec 01 02:14:56 GMT 2024","passed","Sun Dec 01 02:14:59 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if the sign in info block in section 2 block 1 'home-pants' is correct
            in the Promo Block under header on the Main Page","1975","TC 13.01.20 - Check the display of the sign in block 1 'home-pants' in the Promo Block","tests","Sun Dec 01 02:12:44 GMT 2024","passed","Sun Dec 01 02:12:46 GMT 2024","TestMainPage","test_main_page","",""
"Check New Customers Heading is present ","52","TC 03.01.19 Verify New Customers Heading","tests","Sun Dec 01 02:23:45 GMT 2024","passed","Sun Dec 01 02:23:45 GMT 2024","TestNewCustomers","test_sign_in","",""
"Check that watches is displayed and enabled","1849","test_tc_11_01_06","tests","Sun Dec 01 02:05:13 GMT 2024","passed","Sun Dec 01 02:05:14 GMT 2024","TestGearPage","test_gear","",""
"Check the dropdown button is displayed if the user is authorized","11646","TC 01.01.08 display of the dropdown list button ","tests","Sun Dec 01 02:07:55 GMT 2024","broken","Sun Dec 01 02:08:07 GMT 2024","TestHeader","test_header","",""
"This test checks if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","1716","TC 02.01.10 - Check if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","tests","Sun Dec 01 02:02:19 GMT 2024","passed","Sun Dec 01 02:02:21 GMT 2024","TestFooter","test_footer","",""
"This test checks if block 5 'home-eco' in section 2 in the Promo Block is present
            in the DOM tree on the main page","1630","TC 13.01.48 - Check block 5 'home-eco' in section 2 of the Promo Block is present in the DOM tree","tests","Sun Dec 01 02:14:24 GMT 2024","passed","Sun Dec 01 02:14:26 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if info block in section 2 block 4 'home-performance' is displayed in the Promo Block
            under header on the Main Page","1804","TC 13.01.32 - Check the display of the info block in block 4 'home-performance' in the Promo Block","tests","Sun Dec 01 02:13:30 GMT 2024","passed","Sun Dec 01 02:13:32 GMT 2024","TestMainPage","test_main_page","",""
"Check Success and Failed Login, no error validation","3234","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Sun Dec 01 02:24:36 GMT 2024","broken","Sun Dec 01 02:24:39 GMT 2024","TestFailedLogin","test_sign_in","",""
"Checks if Advanced Search link is visible on each page in DATA_1","1896","TC 02.01.14 - Check display of Advanced Search link on each page specified in DATA_1","tests","Sun Dec 01 02:02:38 GMT 2024","passed","Sun Dec 01 02:02:40 GMT 2024","TestFooter","test_footer","",""
"Check that Advanced Search link in footer is correct","3625","TC 02.02.03 - Check Advanced Search link in footer leads to the correct page from each page specified in DATA_1","tests","Sun Dec 01 02:04:01 GMT 2024","passed","Sun Dec 01 02:04:05 GMT 2024","TestFooter","test_footer","",""
"Check that Advanced Search link in footer is correct","3120","TC 02.02.03 - Check Advanced Search link in footer leads to the correct page from each page specified in DATA_1","tests","Sun Dec 01 02:04:06 GMT 2024","passed","Sun Dec 01 02:04:09 GMT 2024","TestFooter","test_footer","",""
"This test checks if the info block title in section 1 'home-main' is correct
            in the Promo Block under header on the Main Page","1580","TC 13.01.07 - Check the display of the info block title in section 1 'home-main' in the Promo Block","tests","Sun Dec 01 02:11:58 GMT 2024","passed","Sun Dec 01 02:11:59 GMT 2024","TestMainPage","test_main_page","",""
"Checks if Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.47 - Check Email field in Subscribe section is present in the DOM tree on each page specified in DATA_1","tests","Sun Dec 01 02:03:48 GMT 2024","skipped","Sun Dec 01 02:03:48 GMT 2024","TestFooter","test_footer","",""
"Check error on Failed Login with invalid credentials, case-sensitive password and password with spaces","1235","TC 03.02.02 to 03_02_10 Verify Error on Failed Login with invalid credentials","tests","Sun Dec 01 02:25:16 GMT 2024","broken","Sun Dec 01 02:25:17 GMT 2024","TestFailedLogin","test_sign_in","",""
"Checks if text on Subscribe Button is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.44 - Check text on Subscribe Button is present in the DOM tree on each page specified in DATA_1","tests","Sun Dec 01 02:03:48 GMT 2024","skipped","Sun Dec 01 02:03:48 GMT 2024","TestFooter","test_footer","",""
"Check that the price in list of items in the Shopping Cart
        contains item with correct price which was added from More Choices","6237","TC 07.02.28 Verify that the price in list of items in the Shopping Cart is displayed correct","tests","Sun Dec 01 02:22:31 GMT 2024","passed","Sun Dec 01 02:22:37 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Verify that the image in the block 'Luma shorts' is displayed on the Men page","0","TC 14.06.22 Verify the visibility of the image in the 'Luma shorts' promo block.","tests","Sun Dec 01 02:16:38 GMT 2024","skipped","Sun Dec 01 02:16:38 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Check the 'Create an account' link is not displayed if the user is authorized","10876","TC 01.01.06 absence of the ""Create an account"" link display","tests","Sun Dec 01 02:07:31 GMT 2024","broken","Sun Dec 01 02:07:42 GMT 2024","TestHeader","test_header","",""
"Verify the link 'Training' is visible and interactive and link 'Video Download' is visible","2479","TC_01_03_32_visible_and_interactive_the_link_""Training""","tests","Sun Dec 01 02:06:13 GMT 2024","passed","Sun Dec 01 02:06:16 GMT 2024","TestHeader","test_header","",""
"This test checks if the info block title in section 2 block 3 'home-erin' is correct
            in the Promo Block under header on the main page","1742","TC 13.01.28 - Check the display of the title in block 3 'home-erin' in the Promo Block","tests","Sun Dec 01 02:13:16 GMT 2024","passed","Sun Dec 01 02:13:17 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if block 3 'home-erin' is displayed in section 2 of Promo Block under header
            on the Main Page","1634","TC 13.01.12 - Check display of block 3 'home-erin' in section 2 in the Promo Block","tests","Sun Dec 01 02:12:20 GMT 2024","passed","Sun Dec 01 02:12:22 GMT 2024","TestMainPage","test_main_page","",""
"Check that link in section 2 block 3 'home-erin' is correct","3607","TC 13.02.04 - Check the link in section 2 block 3 'home-erin' in the Promo Block leads to the correct page","tests","Sun Dec 01 02:15:01 GMT 2024","passed","Sun Dec 01 02:15:04 GMT 2024","TestMainPage","test_main_page","",""
"This test checks block-promo training-main is displayed","0","TC 16.02.02 - Check the display of block 1 main","tests","Sun Dec 01 02:26:20 GMT 2024","skipped","Sun Dec 01 02:26:20 GMT 2024","TestMainPage","test_training","",""
"Checks if Subscribe Button is visible on each page in DATA_1","0","TC 02.01.41 - Check display of Subscribe Button on each page specified in DATA_1","tests","Sun Dec 01 02:03:48 GMT 2024","skipped","Sun Dec 01 02:03:48 GMT 2024","TestFooter","test_footer","",""
"Check the list appears with sections 'My Account', 'My Wish List', 'Sign Out' after clicking the button,        then clicking on 'My Account' redirects to the account page with the header 'My Account' displayed","10408","TC 01.01.10 functionality of the ""My account"" section in the dropdown list","tests","Sun Dec 01 02:08:46 GMT 2024","broken","Sun Dec 01 02:08:56 GMT 2024","TestHeader","test_header","",""
"Checks if Search Terms link is visible on each page in DATA_1","1709","TC 02.01.04 - Check display of Search Terms link on each page specified in DATA_1","tests","Sun Dec 01 02:01:50 GMT 2024","passed","Sun Dec 01 02:01:52 GMT 2024","TestFooter","test_footer","",""
"Checks if text of 'Subscribe to our mailing list' link is correct on each page in DATA_1","0","TC 02.01.56 - Check text of 'Subscribe to our mailing list' link on each page specified in DATA_1","tests","Sun Dec 01 02:03:48 GMT 2024","skipped","Sun Dec 01 02:03:48 GMT 2024","TestFooter","test_footer","",""
"Check if 'Create an Account' button is present","65","TC 03.01.21 Verify presence of Create an Account button ","tests","Sun Dec 01 02:23:52 GMT 2024","passed","Sun Dec 01 02:23:52 GMT 2024","TestNewCustomers","test_sign_in","",""
"Check that message coupon code is not valid is displayed correct","5075","tc 07.02.25 Verify the message coupon code is not valid is displayed correct","tests","Sun Dec 01 02:22:06 GMT 2024","passed","Sun Dec 01 02:22:11 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Check that link in section 1 is correct","4360","TC 13.02.01 - Check the section 1 link in the Promo Block leads to the correct page","tests","Sun Dec 01 02:14:45 GMT 2024","passed","Sun Dec 01 02:14:49 GMT 2024","TestMainPage","test_main_page","",""
"Check that six links in Women's Deals section lead to the correct pages after click","1695","TC 10.01.03, 10.01.05, 10.01.07, 10.01.09, 10.01.11, 10.01.13 - Verify 6 links in Women's Deals open the correct pages","tests","Sun Dec 01 02:18:07 GMT 2024","passed","Sun Dec 01 02:18:08 GMT 2024","TestSalePage","test_sale","",""
"This test checks if the sign in info block in section 2 block 5 'home-eco' is correct
            in the Promo Block under header on the main page","1961","TC 13.01.40 - Check the display of the sign in block 5 'home-eco' in the Promo Block","tests","Sun Dec 01 02:14:00 GMT 2024","passed","Sun Dec 01 02:14:02 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if the image in section 2 block 3 'home-erin' is correct","1674","TC 13.01.26_01 - Check correctness of the image in block 3 'home-erin' in the Promo Block","tests","Sun Dec 01 02:13:09 GMT 2024","passed","Sun Dec 01 02:13:11 GMT 2024","TestMainPage","test_main_page","",""
"Check if 'Create an Account' button has correct link and is clickable","99","TC 03.01.22 Verify Create an Account button link","tests","Sun Dec 01 02:23:55 GMT 2024","passed","Sun Dec 01 02:23:55 GMT 2024","TestNewCustomers","test_sign_in","",""
"Check that Write for us link in footer is correct","0","TC 02.02.06 - Check Write for us link in footer leads to the correct page from each page specified in DATA_1","tests","Sun Dec 01 02:04:18 GMT 2024","skipped","Sun Dec 01 02:04:18 GMT 2024","TestFooter","test_footer","",""
"Check Success Login with correct credentials","1400","TC 03.02.01 Verify login with valid email valid password - Positive","tests","Sun Dec 01 02:24:03 GMT 2024","broken","Sun Dec 01 02:24:04 GMT 2024","TestLogin","test_sign_in","",""
"This test checks if section 2 in the Promo Block is present in the DOM tree on the main page","1601","TC 13.01.43 - Check section 2 in the Promo Block is present in the DOM tree","tests","Sun Dec 01 02:14:09 GMT 2024","passed","Sun Dec 01 02:14:11 GMT 2024","TestMainPage","test_main_page","",""
"Verify the link 'Gear' is visible and interactive","2070","TC 01.03.27 visible and interactive the link ""Gear""","tests","Sun Dec 01 02:06:34 GMT 2024","passed","Sun Dec 01 02:06:37 GMT 2024","TestHeader","test_header","",""
"Checks if text of Search Terms link is correct on each page in DATA_1","0","TC 02.01.07 - Check text of Search Terms link on each page specified in DATA_1","tests","Sun Dec 01 02:02:04 GMT 2024","skipped","Sun Dec 01 02:02:04 GMT 2024","TestFooter","test_footer","",""
"Verify that text-3 in 'Luma hoodies' block correctly displayed","0","TC 14.06.37 Verify that the 'Shop Hoodies' text is visible.","tests","Sun Dec 01 02:16:38 GMT 2024","skipped","Sun Dec 01 02:16:38 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Checking title of the Category section","1930","test_tc_10_01_01","tests","Sun Dec 01 02:04:53 GMT 2024","passed","Sun Dec 01 02:04:55 GMT 2024","TestGearPage","test_gear","",""
"Checks if 'Subscribe to our mailing list' link is visible on each page specified in DATA_1","0","TC 02.01.53 - Check 'Subscribe to our mailing list' link is visible on each page specified in DATA_1","tests","Sun Dec 01 02:03:48 GMT 2024","skipped","Sun Dec 01 02:03:48 GMT 2024","TestFooter","test_footer","",""
"Check that two links in Gear Deals section lead to the correct pages after click","1153","TC 10.04.03, 10.04.06, 10.04.09 - Verify that links in Main block, 2 columns block open the correct pages","tests","Sun Dec 01 02:19:51 GMT 2024","broken","Sun Dec 01 02:19:52 GMT 2024","TestSalePage","test_sale","",""
" Verify that checkbox is present and unchecked","0","TC 04_01_09 Verify checkbox is present and unchecked","tests","Sun Dec 01 02:00:18 GMT 2024","skipped","Sun Dec 01 02:00:18 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"This test checks that the card has title","1817","test_verify_the_card_has_title","tests","Sun Dec 01 02:10:17 GMT 2024","passed","Sun Dec 01 02:10:19 GMT 2024","TestMainPage","test_main_page","",""
"Check 'Jackets' subsection link click in 'Women' section redirects to the Jackets-women page and         the 'Jackets' header is displayed","5273","TC 01.03.07 correctness of the ""Jackets"" link of the ""Women"" section","tests","Sun Dec 01 02:09:30 GMT 2024","passed","Sun Dec 01 02:09:36 GMT 2024","TestHeader","test_header","",""
"This test checks if the sign in info block in section 2 block 3 'home-erin' is correct
            in the Promo Block under header on the main page","1582","TC 13.01.30 - Check the display of the sign in block 3 'home-erin' in the Promo Block","tests","Sun Dec 01 02:13:21 GMT 2024","passed","Sun Dec 01 02:13:23 GMT 2024","TestMainPage","test_main_page","",""
"Verify that text-2 in 'Save up to $24!' block correctly displayed","0","TC 14.06.12 Verify that the 'Buy 3 Luma tees' text in the 'Save up to $24!' promo block is visible.","tests","Sun Dec 01 02:16:38 GMT 2024","skipped","Sun Dec 01 02:16:38 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Checks if text of 'Contact us' link is correct on each page in DATA_1","0","TC 02.01.27 - Check text of 'Contact us' link on each page specified in DATA_1","tests","Sun Dec 01 02:03:22 GMT 2024","skipped","Sun Dec 01 02:03:22 GMT 2024","TestFooter","test_footer","",""
"Check if the password input field is of correct format (input-text) and clickable","69","TC 03.01.10 Verify Password field is correct format and clickable","tests","Sun Dec 01 02:23:11 GMT 2024","passed","Sun Dec 01 02:23:11 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Check if Email field is appropriately labeled ","86","TC 03.01.06 Verify Email field is appropriately labeled","tests","Sun Dec 01 02:22:57 GMT 2024","passed","Sun Dec 01 02:22:57 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Check that Contact Us link in footer is correct","0","TC 02.02.05 - Check Contact Us link in footer leads to the correct page from each page specified in DATA_1","tests","Sun Dec 01 02:04:18 GMT 2024","skipped","Sun Dec 01 02:04:18 GMT 2024","TestFooter","test_footer","",""
"Checks if Privacy and Cookie Policy link is visible on each page in DATA_1","1873","TC 02.01.09 - Check display of Privacy and Cookie Policy link on each page specified in DATA_1","tests","Sun Dec 01 02:02:16 GMT 2024","passed","Sun Dec 01 02:02:18 GMT 2024","TestFooter","test_footer","",""
"
            This test will check that after clicking on the add to wishlist button,
            you are redirected to the My Wishlist page
            User is not authorized
            ","12207","Check the transition to the page my wish after clicking on the button. User is not authorized","tests","Sun Dec 01 02:11:26 GMT 2024","skipped","Sun Dec 01 02:11:38 GMT 2024","TestMainPage","test_main_page","",""
"Check Success and Failed Login, no error validation","4016","TC 03.02.01 to 03_02_10 Verify Failed Login, no error validation","tests","Sun Dec 01 02:25:04 GMT 2024","passed","Sun Dec 01 02:25:08 GMT 2024","TestFailedLogin","test_sign_in","",""
"
        The user is NOT logged in, located in the product card, section ""Reviews""
        1. All required fields are filled with correct data
        2. Pressed 4 star
        3.The ""Submit Review"" button is pressed
        Result: Present in the DOM and visible on the page the message: ""You submitted your review for moderation.
        This code works when run on Win, Mac, Ubuntu on a real laptop and has the features of working on GitHub Action.
        When interacting with the GitHub Action, it checks not for the text of the ""Success"" message, but for the ""Success"" URL""
        ","13395","TC 01_15_01 Verify possibility to vote with 4 stars","tests","Sun Dec 01 02:17:20 GMT 2024","passed","Sun Dec 01 02:17:33 GMT 2024","TestReviews","test_reviews_page","",""
"Checks if placeholder in Email field is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.49 - Check placeholder in Subscribe Email Field is present in the DOM tree on each page specified in DATA_1","tests","Sun Dec 01 02:03:48 GMT 2024","skipped","Sun Dec 01 02:03:48 GMT 2024","TestFooter","test_footer","",""
"Verify 'Sale' link click redirected to the page and the 'Sale' header is displayed","3099","TC 01.03.36 correctly redirected the link sale","tests","Sun Dec 01 02:05:41 GMT 2024","passed","Sun Dec 01 02:05:44 GMT 2024","TestHeader","test_header","",""
"Check if the displayed email matches the entered email in Email field","395","TC 17.01.07 Verify displayed email matches the entered email in FYP Email field","tests","Sun Dec 01 02:04:40 GMT 2024","passed","Sun Dec 01 02:04:41 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"This test checks if block 2 'home-t-shirts' in section 2 in the Promo Block is present
            in the DOM tree on the main page","1497","TC 13.01.45 - Check block 2 'home-t-shirts' in section 2 of the Promo Block is present in the DOM tree","tests","Sun Dec 01 02:14:15 GMT 2024","passed","Sun Dec 01 02:14:17 GMT 2024","TestMainPage","test_main_page","",""
" Verify presence of Password Strength hint and warning color of weak password ","365","TC 04_02_09_13 Verify presence of strong password strength hint","tests","Sun Dec 01 02:01:25 GMT 2024","passed","Sun Dec 01 02:01:25 GMT 2024","TestCreateAnAccount","test_create_an_account","",""
"Check title-text and content-text in 3-columns block - sale-20-off","157","TC 10.04.11 - Verify the text in 3-columns block- sale-20-off","tests","Sun Dec 01 02:20:09 GMT 2024","passed","Sun Dec 01 02:20:09 GMT 2024","TestSalePage","test_sale","",""
"Check if the entered value is masked in password field","1230","TC 03.01.13 Verify Password is masked","tests","Sun Dec 01 02:23:21 GMT 2024","broken","Sun Dec 01 02:23:22 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Verify that the link 'Jackets' is displayed and clickable","3634","TC 14.03.04 Verify the link 'Jackets' is visible and clickable.","tests","Sun Dec 01 02:15:44 GMT 2024","passed","Sun Dec 01 02:15:48 GMT 2024","TestMenPage","test_men","",""
"Verify the message 'You have no items in your wish list.' is visible","1481","TC 18.01.04 message no items to compare is displayed","tests","Sun Dec 01 02:26:33 GMT 2024","passed","Sun Dec 01 02:26:35 GMT 2024","TestTrainingVideoDownload","test_training_video_download","",""
"Check that entered quantity displayed correctly after changing.","0","tc 07.02.04 Verify that entered quantity displayed correctly after changing","tests","Sun Dec 01 02:20:36 GMT 2024","broken","Sun Dec 01 02:20:36 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Verify that the link 'Hoodies&Sweatshirts' is displayed and clickable","3241","TC 14.03.02 Verify the link 'Hoodies&Sweatshirts' is visible and clickable.","tests","Sun Dec 01 02:15:36 GMT 2024","passed","Sun Dec 01 02:15:39 GMT 2024","TestMenPage","test_men","",""
"This test checks if the sign in info block in section 2 block 2 'home-t-shirts' is correct
            in the Promo Block under header on the main page","1981","TC 13.01.25 - Check the display of the sign in block 2 'home-t-shirts' in the Promo Block","tests","Sun Dec 01 02:13:02 GMT 2024","passed","Sun Dec 01 02:13:04 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if block 2 'home-t-shirts' is displayed in section 2 of Promo Block under header
             on the Main Page","1753","TC 13.01.11 - Check display of block 2 'home-t-shirts' in section 2 in the Promo Block","tests","Sun Dec 01 02:12:17 GMT 2024","passed","Sun Dec 01 02:12:19 GMT 2024","TestMainPage","test_main_page","",""
"This test checks if block 5 'home-eco' in section 2 in Promo Block under header is clickable","1678","TC 13.01.54 - Check if block 5 'home-eco' in section 2 is clickablein the Promo Block on the main page","tests","Sun Dec 01 02:14:42 GMT 2024","passed","Sun Dec 01 02:14:44 GMT 2024","TestMainPage","test_main_page","",""
"Check 'Tanks' subsection link click in 'Men' section redirects to the Tanks-men page and         the 'Tanks' header is displayed","4043","TC 01.03.22 correctness of the ""Tanks"" link of the ""Men"" section","tests","Sun Dec 01 02:08:41 GMT 2024","passed","Sun Dec 01 02:08:45 GMT 2024","TestHeader","test_header","",""
