"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check if the password input field is present","43","TC 03.01.09 Verify Password field is present","tests","Tue Dec 31 01:59:28 GMT 2024","passed","Tue Dec 31 01:59:28 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"Checks if text on Subscribe Button is visible on each page in DATA_1","0","TC 02.01.45 - Check display of text on Subscribe Button on each page specified in DATA_1","tests","Tue Dec 31 01:40:22 GMT 2024","skipped","Tue Dec 31 01:40:22 GMT 2024","TestFooter","test_footer","",""
"Check title-text and content-text in 3-columns block - sale-free-shipping","90","TC 10.04.13 - Verify the text in 3-columns block - sale-free-shipping","tests","Tue Dec 31 01:56:21 GMT 2024","passed","Tue Dec 31 01:56:21 GMT 2024","TestSalePage","test_sale","",""
"Check if the 'Reload captcha' button is present","0","TC 17.01.14 Verify Reload captcha button is present","tests","Tue Dec 31 01:41:02 GMT 2024","skipped","Tue Dec 31 01:41:02 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"Check that the captcha image is present by default","0","TC 17.01.18 Verify captcha image has alternative text","tests","Tue Dec 31 01:41:02 GMT 2024","skipped","Tue Dec 31 01:41:02 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"Verify that text-2 in 'Luma shorts' block correctly displayed","0","TC 14.06.24 Verify that the 'Cool it now' text is visible.","tests","Tue Dec 31 01:53:20 GMT 2024","skipped","Tue Dec 31 01:53:20 GMT 2024","TestMenPagePromoBlock","test_men","",""
"","42","TC 03.01.14 Verify Sign in button is present","tests","Tue Dec 31 01:59:41 GMT 2024","passed","Tue Dec 31 01:59:41 GMT 2024","TestRegisteredCustomers","test_sign_in","",""
"This test checks if the sign in info block in section 2 block 2 'home-t-shirts' is correct
            in the Promo Block under header on the main page","1246","TC 13.01.25 - Check the display of the sign in block 2 'home-t-shirts' in the Promo Block","tests","Tue Dec 31 01:48:43 GMT 2024","broken","Tue Dec 31 01:48:44 GMT 2024","TestMainPage","test_main_page","",""
"Verify that the 'Proceed to checkout' button redirects to the shipping page.","4579","tc 07.02.08 Verify that 'Proceed to checkout' button redirects to the shipping page","tests","Tue Dec 31 01:57:10 GMT 2024","passed","Tue Dec 31 01:57:14 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"This test checks that if a product has a review, then the product card has a rating","1247","test_check_card_rating","tests","Tue Dec 31 01:45:26 GMT 2024","passed","Tue Dec 31 01:45:27 GMT 2024","TestMainPage","test_main_page","",""
"Checks if Advanced Search link is present in the DOM tree on each page specified in DATA_1","1029","TC 02.01.13 - Check Advanced Search link is present in the DOM tree on each page specified in DATA_1","tests","Tue Dec 31 01:39:28 GMT 2024","passed","Tue Dec 31 01:39:29 GMT 2024","TestFooter","test_footer","",""
