"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks if block 3 'home-erin' is displayed in section 2 of Promo Block under header
            on the Main Page","7590","TC 13.01.12 - Check display of block 3 'home-erin' in section 2 in the Promo Block","tests","Sun Mar 09 01:12:24 GMT 2025","broken","Sun Mar 09 01:12:32 GMT 2025","TestMainPage","test_main_page","",""
"The test checks if the displayed captcha matches the entered value in the captcha field","0","TC 17.01.13 Verify displayed captcha matches the entered value in FYP captcha field","tests","Sun Mar 09 01:06:08 GMT 2025","skipped","Sun Mar 09 01:06:08 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"","830","TC 14.02.04 Verify the link 'Bottoms' is visible and clickable.","tests","Sun Mar 09 01:17:49 GMT 2025","passed","Sun Mar 09 01:17:50 GMT 2025","TestMenPage","test_men","",""
"This test checks if 'Subscribe to our mailing list' link is clickable on each page specified in DATA_1","0","TC 02.01.54 - Check if 'Subscribe to our mailing list' link is clickable on each page specified in DATA_1","tests","Sun Mar 09 01:05:29 GMT 2025","skipped","Sun Mar 09 01:05:29 GMT 2025","TestFooter","test_footer","",""
"Checks if placeholder in Subscribe Email Field is visible on each page in DATA_1","0","TC 02.01.50 - Check display of placeholder in Subscribe Email Field on each page specified in DATA_1","tests","Sun Mar 09 01:05:29 GMT 2025","skipped","Sun Mar 09 01:05:29 GMT 2025","TestFooter","test_footer","",""
"Verify the link 'Fitness Equipment' redirected to the page and the 'Fitness Equipment' header is displayed","2238","TC 01.03.31 correctly redirected the link ""Gear - Watches""","tests","Sun Mar 09 01:08:02 GMT 2025","passed","Sun Mar 09 01:08:04 GMT 2025","TestHeader","test_header","",""
"Checks if Copyright section is present in the DOM tree on each page specified in DATA_1","766","TC 02.01.33 - Check Copyright section is present in the DOM tree on each page specified in DATA_1","tests","Sun Mar 09 01:05:14 GMT 2025","passed","Sun Mar 09 01:05:14 GMT 2025","TestFooter","test_footer","",""
"
        Check that the 'Reload captcha' button generates a new captcha image
        and ensure the new image source is different from the original image source
        ","0","TC 17.01.16 Verify click Reload captcha button generates a new captcha image","tests","Sun Mar 09 01:06:08 GMT 2025","skipped","Sun Mar 09 01:06:08 GMT 2025","TestForgotYourPassword","test_forgot_your_password","",""
"This test check the title page","4","TC 16.02.08 Check the title page","tests","Sun Mar 09 01:26:50 GMT 2025","passed","Sun Mar 09 01:26:50 GMT 2025","TestMainPage","test_training","",""
"Checks if the Search Terms link is present in the DOM tree on each page specified in DATA_1","992","TC 02.01.03 - Check Search Terms link is present in the DOM tree on each page specified in DATA_1","tests","Sun Mar 09 01:03:59 GMT 2025","passed","Sun Mar 09 01:04:00 GMT 2025","TestFooter","test_footer","",""
