"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check error message on attempt to log in with empty password","581","TC 03.02.05 Verify error on attempting to log in with empty email - Negative","tests","Thu Nov 28 02:08:44 GMT 2024","passed","Thu Nov 28 02:08:44 GMT 2024","TestLogin","test_sign_in","",""
"Verify that the image in the block 'Last chance for pants' is displayed on the Men page","0","TC 14.06.16 Verify the visibility of the image in the 'Last chance for pants' promo block.","tests","Thu Nov 28 02:01:33 GMT 2024","skipped","Thu Nov 28 02:01:33 GMT 2024","TestMenPagePromoBlock","test_men","",""
"Check that five links in Men's Deals section lead to the correct pages after click","1980","TC 10.02.03, 10.02.05, 10.02.07, 10.02.09, 10.02.11 - Verify 5 links in Men's Deals open the correct pages","tests","Thu Nov 28 02:03:21 GMT 2024","passed","Thu Nov 28 02:03:23 GMT 2024","TestSalePage","test_sale","",""
"
        Check the Email field is activated with a cursor and gets highlighted when clicked
        ","743","TC 17.01.06 Verify FYP Email field highlighting on click","tests","Thu Nov 28 01:49:57 GMT 2024","passed","Thu Nov 28 01:49:57 GMT 2024","TestForgotYourPassword","test_forgot_your_password","",""
"Checks if Footer is visible on each page specified in DATA_1","2186","TC 02.01.02 - Check Footer display on each page specified in DATA_1","tests","Thu Nov 28 01:47:03 GMT 2024","passed","Thu Nov 28 01:47:05 GMT 2024","TestFooter","test_footer","",""
"This test checks if Section 1 in Promo Block under header is displayed on the Main Page","1880","TC 13.01.02 - Check the display of Section 1 in the Promo Block","tests","Thu Nov 28 01:56:47 GMT 2024","passed","Thu Nov 28 01:56:49 GMT 2024","TestMainPage","test_main_page","",""
"Check New Customers Heading is present ","98","TC 03.01.19 Verify New Customers Heading","tests","Thu Nov 28 02:08:16 GMT 2024","passed","Thu Nov 28 02:08:16 GMT 2024","TestNewCustomers","test_sign_in","",""
"This test checks the color change of the add to wishlist button and add to compare button on hover","2184","test_tc_06_01_12_the_color_change_my_wish_and_add_to_compare_button[add_to_wish_list]","tests","Thu Nov 28 01:55:59 GMT 2024","passed","Thu Nov 28 01:56:01 GMT 2024","TestMainPage","test_main_page","",""
"Check that the 'Proceed to checkout' button is displayed and clickable.","0","tc 07.02.07 Verify that 'Proceed to checkout' button is displayed and clickable","tests","Thu Nov 28 02:05:37 GMT 2024","passed","Thu Nov 28 02:05:37 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
"Check that link in section 2 block 1 'home-pants' is correct","3003","TC 13.02.02 - Check the link in section 2 block 1 'home-pants' in the Promo Block leads to the correct page","tests","Thu Nov 28 01:59:46 GMT 2024","passed","Thu Nov 28 01:59:49 GMT 2024","TestMainPage","test_main_page","",""
"Verify 'Training' link click redirected to the page and the 'Training' header is displayed","3225","TC 01.03.33 correctly redirected the link ""Training""","tests","Thu Nov 28 01:51:22 GMT 2024","passed","Thu Nov 28 01:51:25 GMT 2024","TestHeader","test_header","",""
"Check error message on attempt to reset password with empty email field","257","TC 17.01.25 Verify error on resetting My Password with empty email","tests","Thu Nov 28 01:50:10 GMT 2024","passed","Thu Nov 28 01:50:10 GMT 2024","TestForgotYourPasswordFunctionality","test_forgot_your_password","",""
"Checks if text on Subscribe Button is correct on each page in DATA_1","0","TC 02.01.46 - Check text on Subscribe Button on each page specified in DATA_1","tests","Thu Nov 28 01:49:11 GMT 2024","skipped","Thu Nov 28 01:49:11 GMT 2024","TestFooter","test_footer","",""
"Check 'Create an account' link is displayed and underlined","2318","TC 01.01.02 display and interactivity of the ""Create an account"" link","tests","Thu Nov 28 01:50:39 GMT 2024","passed","Thu Nov 28 01:50:41 GMT 2024","TestHeader","test_header","",""
"Verify that the subhead 'BOTTOMS' is displayed","1793","TC 14.04.01 Verify the 'BOTTOMS' subhead is displayed","tests","Thu Nov 28 02:01:09 GMT 2024","passed","Thu Nov 28 02:01:11 GMT 2024","TestMenPage","test_men","",""
"Checks if text on Subscribe Button is visible on each page in DATA_1","0","TC 02.01.45 - Check display of text on Subscribe Button on each page specified in DATA_1","tests","Thu Nov 28 01:49:11 GMT 2024","skipped","Thu Nov 28 01:49:11 GMT 2024","TestFooter","test_footer","",""
"This test checks if block 1 'home-pants' is displayed in section 2 of Promo Block under header
            on the Main Page","1759","TC 13.01.10 - Check display of block 1 'home-pants' in section 2 in the Promo Block","tests","Thu Nov 28 01:57:06 GMT 2024","passed","Thu Nov 28 01:57:08 GMT 2024","TestMainPage","test_main_page","",""
"Check that remove button deletes item from the shipping page","0","tc 07.02.10 Verify that remove button deletes item from the shipping page","tests","Thu Nov 28 02:06:02 GMT 2024","broken","Thu Nov 28 02:06:02 GMT 2024","TestShoppingCartFull","test_shopping_cart","",""
